name|accuracy|params|hardware_req|tags
OmniVec|92.4|null|null|[']']
BASIC-L (Lion, fine-tuned)|91.1|2440000000.0|null|['Conv+Transformer', 'ALIGN', 'JFT-3B']
CoCa (finetuned)|91.0|2100000000.0|null|['ALIGN', 'Transformer', 'JFT-3B']
Model soups (BASIC-L)|90.98|2440000000.0|null|['ALIGN', 'JFT-3B', 'Conv+Transformer']
Model soups (ViT-G/14)|90.94|1843000000.0|null|['JFT-3B', 'Transformer']
ViT-e|90.9|3900000000.0|null|['Transformer', 'JFT-3B']
CoAtNet-7|90.88|2440000000.0|2586.0|['Conv+Transformer', 'JFT-3B']
ViT-G/14 (Lion)|90.71|1843000000.0|null|['Transformer', 'JFT-3B']
CoCa (frozen)|90.6|2100000000.0|null|['Transformer', 'ALIGN', 'JFT-3B']
CoAtNet-6|90.45|1470000000.0|1521.0|['Conv+Transformer', 'JFT-3B']
ViT-G/14|90.45|1843000000.0|2859.9|['JFT-3B', 'Transformer']
DaViT-G|90.4|1437000000.0|1038.0|['Transformer']
DaViT-H|90.2|362000000.0|334.0|['Transformer']
Meta Pseudo Labels (EfficientNet-L2)|90.2|480000000.0|null|['JFT-300M', 'EfficientNet']
SwinV2-G|90.17|3000000000.0|null|['Transformer']
InternImage-DCNv3-G (M3I Pre-training)|90.1|3000000000.0|null|[']']
MAWS (ViT-6.5B)|90.1|6500000000.0|null|[']']
Florence-CoSwin-H|90.05|893000000.0|null|['FLD-900M', 'Transformer']
Meta Pseudo Labels (EfficientNet-B6-Wide)|90.0|390000000.0|null|['JFT-300M', 'EfficientNet']
RevCol-H|90.0|2158000000.0|null|['Pure CNN', 'Reversible', 'CNN']
ONE-PEACE|89.8|1520000000.0|null|[']']
MAWS (ViT-2B)|89.8|2000000000.0|null|[']']
EVA|89.7|1000000000.0|null|[']']
M3I Pre-training (InternImage-H)|89.6|null|null|['YFCC-15M', 'Laion-400M']
ViT-L/16 (384res, distilled from ViT-22B)|89.6|307000000.0|null|[']']
InternImage-H|89.6|1080000000.0|1478.0|[']']
MaxViT-XL (512res, JFT)|89.53|null|null|['JFT-300M']
MAWS (ViT-H)|89.5|650000000.0|null|[']']
MaxViT-XL (384res, JFT)|89.41|null|null|['JFT-300M']
MaxViT-L (512res, JFT)|89.41|null|null|['JFT-300M']
NFNet-F4+|89.2|527000000.0|367.0|['CNN', 'JFT-300M']
MaxViT-L (384res, JFT)|89.12|null|null|['JFT-300M']
MOAT-4 22K+1K|89.1|483200000.0|648.5|['ImageNet-22k']
FD (CLIP ViT-L-336)|89.0|307000000.0|null|['ImageNet-22k', 'CLIP data ']
Last Layer Tuning with Newton Step (ViT-G/14))|88.9|null|null|[']']
TokenLearner L/8 (24+11)|88.87|460000000.0|null|['Transformer', 'JFT-300M']
MaxViT-B (512res, JFT)|88.82|null|null|['JFT-300M']
MAWS (ViT-L)|88.8|null|null|[']']
MViTv2-H (512 res, ImageNet-21k pretrain)|88.8|667000000.0|763.5|['ImageNet-22k']
MaxViT-XL (512res, 21K)|88.7|null|null|[']']
MaxViT-B (384res, JFT)|88.69|null|null|[']']
ALIGN (EfficientNet-L2)|88.64|480000000.0|null|['ALIGN', 'EfficientNet']
EfficientNet-L2-475 (SAM)|88.61|480000000.0|null|['JFT-300M', 'EfficientNet']
ViT-B/16 (384res, distilled from ViT-22B)|88.6|86000000.0|null|[']']
BEiT-L (ViT; ImageNet-22K pretrain)|88.6|331000000.0|null|['ImageNet-22k', 'Transformer']
SWAG (ViT H/14)|88.6|633500000.0|1018.8|[']']
ViT-H/14|88.55|null|null|['JFT-300M', 'Transformer']
CoAtNet-3 @384|88.52|168000000.0|114.0|[']']
MaxViT-XL (384res, 21K)|88.51|null|null|['ImageNet-22k']
mPLUG-2|88.5|null|null|[']']
OpenCLIP ViT-H/14|88.5|null|null|[']']
FixEfficientNet-L2|88.5|480000000.0|585.0|['JFT-300M', 'EfficientNet']
ViTAE-H + MAE (448)|88.5|644000000.0|null|[']']
MaxViT-L (512res, 21K)|88.46|null|null|[']']
MViTv2-L (384 res, ImageNet-21k pretrain)|88.4|218000000.0|140.7|['ImageNet-22k']
NoisyStudent (EfficientNet-L2)|88.4|480000000.0|null|['JFT-300M', 'EfficientNet']
MaxViT-B (512res, 21K)|88.38|null|null|['ImageNet-22k']
Top-k DiffSortNets (EfficientNet-L2)|88.37|null|null|['EfficientNet', 'JFT-300M']
Adlik-ViT-SG+Swin_large+Convnext_xlarge(384)|88.36|1827000000.0|null|[']']
V-MoE-H/14 (Every-2)|88.36|7200000000.0|null|['JFT-300M', 'Transformer']
MaxViT-L (384res, 21K)|88.32|null|null|['ImageNet-22k']
Unicom (ViT-L/14@336px) (Finetuned)|88.3|null|null|[']']
PeCo (ViT-H, 448)|88.3|656000000.0|null|['Transformer', 'ImageNet-1k only']
MaxViT-B (384res, 21K)|88.24|null|null|['ImageNet-22k']
V-MoE-H/14 (Last-5)|88.23|2700000000.0|null|['JFT-300M', 'Transformer']
dBOT ViT-H (CLIP as Teacher)|88.2|null|null|['CLIP data ']
CAFormer-B36 (384 res, 21K)|88.1|99000000.0|72.2|['ImageNet-22k']
VIT-H/14|88.08|656000000.0|null|['JFT-300M', 'Transformer']
ViT-H@224 (cosub)|88.0|null|null|['ImageNet-22k']
UniRepLKNet-XL++|88.0|null|null|[']']
InternImage-XL|88.0|335000000.0|163.0|[']']
MViTv2-H (mageNet-21k pretrain)|88.0|667000000.0|120.6|['ImageNet-22k']
Mixer-H/14 (JFT-300M pre-train)|87.94|null|null|['JFT-300M', 'MLP']
UniRepLKNet-L++|87.9|null|null|[']']
dBOT ViT-L (CLIP as Teacher)|87.8|null|null|['CLIP data ']
MogaNet-XL (384res)|87.8|181000000.0|102.0|[']']
VAN-B6 (22K, 384res)|87.8|200000000.0|114.3|['ImageNet-22k']
RepLKNet-XL|87.8|335000000.0|128.7|['ImageNet-22k']
ConvNeXt-XL (ImageNet-22k)|87.8|350000000.0|179.0|['CNN', 'ImageNet-22k']
MAE (ViT-H, 448)|87.8|656000000.0|null|['Transformer', 'ImageNet-1k only']
ViT-L/16|87.76|null|null|['JFT-300M', 'Transformer']
HorNet-L (GF)|87.7|null|101.8|['ImageNet-22k']
InternImage-L|87.7|223000000.0|108.0|[']']
ConvFormer-B36 (384 res, 21K)|87.6|100000000.0|66.5|['ImageNet-22k']
BiT-L (ResNet)|87.54|null|null|['ImageNet-22k', 'ResNet']
PeCo (ViT-H, 224)|87.5|null|null|['Transformer', 'ImageNet-1k only']
ViT-L@224 (cosub)|87.5|null|null|['ImageNet-22k']
CAFormer-M36 (384 res, 21K)|87.5|56000000.0|42.0|['ImageNet-22k']
CSWin-L (384 res,ImageNet-22k pretrain)|87.5|173000000.0|96.8|['ImageNet-22k', 'Transformer']
DaViT-L (ImageNet-22k)|87.5|196800000.0|103.0|['ImageNet-22k']
DiNAT-Large (11x11ks; 384res; Pretrained on IN22K@224)|87.5|200000000.0|92.4|['ImageNet-22k']
V-MoE-L/16 (Every-2)|87.41|3400000000.0|null|['JFT-300M', 'Transformer']
DiNAT-Large (384x384; Pretrained on ImageNet-22K @ 224x224)|87.4|null|89.7|['ImageNet-22k']
data2vec 2.0|87.4|null|null|['ImageNet-1k only']
UniRepLKNet-B++|87.4|null|null|[']']
CAFormer-B36 (224 res, 21K)|87.4|99000000.0|23.2|['ImageNet-22k']
UniNet-B6|87.4|117000000.0|51.0|['ImageNet-22k']
DiNAT_s-Large (384res; Pretrained on IN22K@224)|87.4|197000000.0|101.5|['ImageNet-22k']
Swin-L (384 res, ImageNet-22k pretrain)|87.3|197000000.0|103.9|['ImageNet-22k', 'Transformer']
VOLO-D5+HAT|87.3|295500000.0|412.0|['ImageNet-1k only', 'Transformer']
EfficientNetV2 (PolyLoss)|87.2|null|null|[']']
ELSA-VOLO-D5 (512*512)|87.2|298000000.0|437.0|['Transformer', 'ImageNet-1k only']
Bamboo (Bamboo-H)|87.1|null|null|['ImageNet-1k only']
Swin-L@224 (cosub)|87.1|null|null|['ImageNet-22k']
FixEfficientNet-B7|87.1|66000000.0|82.0|['JFT-300M', 'EfficientNet']
FAN-L-Hybrid++|87.1|76800000.0|null|[']']
SwinV2-B|87.1|88000000.0|null|[']']
VOLO-D5|87.1|296000000.0|null|['ImageNet-1k only']
PatchConvNet-L120-21k-384|87.1|334300000.0|null|['PatchConvnet', 'ImageNet-22k']
16-TokenLearner B/16 (21)|87.07|null|null|['Transformer', 'JFT-300M']
MAE+DAT (ViT-H)|87.02|null|null|[']']
UniNet-B5|87.0|72900000.0|20.4|['ImageNet-22k']
VAN-B5 (22K, 384res)|87.0|90000000.0|50.6|[']']
ConvFormer-B36 (224 res, 21K)|87.0|100000000.0|22.6|['ImageNet-22k']
MAE (ViT-H)|86.9|null|null|['Transformer', 'ImageNet-1k only']
Hiera-H|86.9|null|null|['ImageNet-1k only', 'Transformer']
CAFormer-S36 (384 res, 21K)|86.9|39000000.0|26.0|['ImageNet-22k']
ConvFormer-M36 (384 res, 21K)|86.9|57000000.0|37.7|['ImageNet-22k']
NoisyStudent (EfficientNet-B7)|86.9|66000000.0|37.0|['JFT-300M', 'EfficientNet']
DaViT-B (ImageNet-22k)|86.9|87900000.0|46.4|[']']
MAWS (ViT-B)|86.8|null|null|[']']
EfficientNetV2-L (21k)|86.8|121000000.0|53.0|['ImageNet-22k', 'EfficientNet']
VOLO-D4|86.8|193000000.0|null|['ImageNet-1k only']
NFNet-F5 w/ SAM w/ augmult=16|86.78|377200000.0|null|['CNN', 'ImageNet-1k only']
\u00b52Net (ViT-L/16)|86.74|null|null|['ImageNet-22k']
ViT-B @384 (DeiT III, 21k)|86.7|null|null|['ImageNet-22k']
MaxViT-L (512res)|86.7|null|null|[']']
FixEfficientNet-B6|86.7|43000000.0|null|['JFT-300M', 'EfficientNet']
MOAT-3 1K only|86.7|190000000.0|271.0|[']']
Heinsen Routing + BEiT-large 16 224|86.7|312800000.0|null|['Transformer', 'ImageNet-1k only']
CLCNet (S:ViT+D:EffNet-B7) (retrain)|86.61|null|51.93|['ImageNet-1k only']
CAFormer-M36 (224 res, 21K)|86.6|56000000.0|13.2|['ImageNet-22k']
VAN-B4 (22K, 384res)|86.6|60000000.0|35.9|[']']
data2vec (ViT-H)|86.6|656000000.0|null|['ImageNet-1k only']
DiNAT_s-Large (224x224; Pretrained on ImageNet-22K @ 224x224)|86.5|null|34.5|['ImageNet-22k']
MKD ViT-L|86.5|null|null|['Teacher-22k', 'ImageNet-22k']
TinyViT-21M-512-distill (512 res, 21k)|86.5|21000000.0|27.0|['ImageNet-22k', 'Transformer']
PatchConvNet-B60-21k-384|86.5|99400000.0|null|['PatchConvnet', 'ImageNet-22k']
CaiT-M-48-448|86.5|438000000.0|377.3|['ImageNet-1k only', 'Transformer']
NFNet-F6 w/ SAM|86.5|438400000.0|377.28|['ImageNet-1k only']
CLCNet (S:ViT+D:VOLO-D3) (retrain)|86.46|null|57.46|['ImageNet-1k only']
CLCNet (S:ConvNeXt-L+D:EffNet-B7) (retrain)|86.42|null|45.43|['ImageNet-1k only']
MaxViT-L (384res)|86.4|null|null|[']']
UniRepLKNet-S++|86.4|null|null|[']']
FixEfficientNet-B5|86.4|30000000.0|null|['JFT-300M', 'EfficientNet']
ConvFormer-S36 (384 res, 21K)|86.4|40000000.0|22.4|['ImageNet-22k']
NoisyStudent (EfficientNet-B6)|86.4|43000000.0|null|['JFT-300M', 'EfficientNet']
Swin-B (384 res, ImageNet-22k pretrain)|86.4|88000000.0|47.0|['ImageNet-22k', 'Transformer']
CAFormer-B36 (384 res)|86.4|99000000.0|72.2|['ImageNet-1k only']
LV-ViT-L|86.4|151000000.0|214.8|['ImageNet-1k only', 'Transformer']
FixResNeXt-101 32x48d|86.4|829000000.0|null|['ResNeXt']
MaxViT-B (384res)|86.34|null|null|[']']
Bamboo (Bamboo-L)|86.3|null|null|['ImageNet-1k only']
ViT-B@224 (cosub)|86.3|null|null|['ImageNet-22k']
"Our SP-ViT-L|384"|86.3|null|null|[']']
BEiT-L (ViT; ImageNet 1k pretrain)|86.3|86000000.0|null|['Transformer', 'ImageNet-1k only']
VOLO-D3|86.3|86000000.0|null|['ImageNet-1k only']
VAN-B5 (22K)|86.3|90000000.0|17.2|[']']
UniFormer-L (384 res)|86.3|100000000.0|39.2|[']']
MViTv2-L (384 res)|86.3|218000000.0|140.2|[']']
CAIT-M36-448|86.3|271000000.0|247.8|['ImageNet-1k only', 'Transformer']
NFNet-F5 w/ SAM|86.3|377200000.0|289.76|['CNN', 'ImageNet-1k only']
Swin-B@224 (cosub)|86.2|null|null|['ImageNet-22k']
TinyViT-21M-384-distill (384 res, 21k)|86.2|21000000.0|13.8|['ImageNet-22k', 'Transformer']
CAFormer-M36 (384 res)|86.2|56000000.0|42.0|['ImageNet-1k only']
TransNeXt-Base (IN-1K supervised, 384)|86.2|89700000.0|56.3|['Transformer', 'ImageNet-1k only']
MIRL (ViT-B-48)|86.2|341000000.0|67.0|['Transformer', 'ImageNet-1k only']
MaxViT-S (512res)|86.19|null|null|[']']
NoisyStudent (EfficientNet-B5)|86.1|30000000.0|null|['JFT-300M', 'EfficientNet']
EfficientNetV2-M (21k)|86.1|55000000.0|null|['ImageNet-22k', 'EfficientNet']
ConvFormer-M36 (224 res, 21K)|86.1|57000000.0|12.8|['ImageNet-22k']
CAIT-M-36|86.1|270900000.0|173.3|['ImageNet-1k only', 'Transformer']
Refiner-ViT-L|86.03|81000000.0|null|['ImageNet-1k only', 'Transformer']
GPaCo (ViT-L)|86.01|null|null|['Contrastive', 'Transformer', 'ImageNet-1k only']
Omnivore (Swin-L)|86.0|null|null|[']']
"Our SP-ViT-M|384"|86.0|null|null|[']']
TransNeXt-Small (IN-1K supervised, 384)|86.0|49700000.0|32.1|['Transformer', 'ImageNet-1k only']
VOLO-D2|86.0|59000000.0|null|['ImageNet-1k only']
XCiT-L24|86.0|189000000.0|417.9|['Transformer', 'ImageNet-1k only']
SparK (ConvNeXt-Large, 384)|86.0|198000000.0|null|['ConvNeXt', 'CNN', 'ImageNet-1k only']
NFNet-F5|86.0|377200000.0|289.76|['CNN', 'ImageNet-1k only']
MAE (ViT-L)|85.9|null|null|['Transformer', 'ImageNet-1k only']
DAT-B++ (384x384)|85.9|null|null|[']']
FixEfficientNet-B4|85.9|19000000.0|null|['JFT-300M', 'EfficientNet']
NFNet-F4|85.9|316100000.0|215.24|['CNN', 'ImageNet-1k only']
ConvNeXt-B@224 (cosub)|85.8|null|null|['ImageNet-22k']
PiT-B@224 (cosub)|85.8|null|null|['ImageNet-22k']
GTP-ViT-B-Patch8/P20|85.8|null|null|[']']
CAFormer-S36 (224 res, 21K)|85.8|39000000.0|8.0|['ImageNet-22k']
XCiT-M24|85.8|84000000.0|188.0|['ImageNet-1k only', 'Transformer']
Fix-EfficientNet-B8 (MaxUp + CutMix)|85.8|87420000.0|null|['ImageNet-1k only', 'EfficientNet']
KDforAA (EfficientNet-B8)|85.8|88000000.0|null|['ImageNet-1k only', 'EfficientNet']
CAIT-M-24|85.8|185900000.0|116.1|['ImageNet-1k only', 'Transformer']
ViT-L @384 (DeiT III)|85.8|304800000.0|191.2|['ImageNet-1k only']
SEER (RG-10B)|85.8|10000000000.0|null|['Self-Supervised Learning', 'RegNet', 'IG-1B']
MaxViT-T(512res)|85.72|null|null|[']']
FixEfficientNet-B8|85.7|null|null|['ImageNet-1k only', 'EfficientNet']
EfficientNetV2-L|85.7|null|null|['ImageNet-1k only', 'EfficientNet']
ViT-B @224 (DeiT III, 21k)|85.7|null|null|['ImageNet-22k']
dBOT ViT-B (CLIP as Teacher)|85.7|null|null|['CLIP data ']
CAFormer-S36 (384 res)|85.7|39000000.0|26.0|['ImageNet-1k only']
VAN-B4 (22K)|85.7|60000000.0|12.2|[']']
ConvFormer-B36 (384 res)|85.7|100000000.0|66.5|['ImageNet-1k only']
NFNet-F3|85.7|254900000.0|114.76|['CNN', 'ImageNet-1k only']
ViT-H @224 (DeiT-III + AugSub)|85.7|632000000.0|null|[']']
XCiT-S24|85.6|48000000.0|106.0|['Transformer', 'ImageNet-1k only']
ConvFormer-M36 (384 res)|85.6|57000000.0|37.7|['ImageNet-1k only']
UniFormer-L|85.6|100000000.0|12.6|[']']
ViT-L@384 (attn finetune)|85.5|null|null|['ImageNet-1k only']
Our SP-ViT-L|85.5|null|null|[']']
Mini-Swin-B@384|85.5|47000000.0|98.8|['Conv+Transformer', 'ImageNet-1k only', 'Transformer']
Wave-ViT-L|85.5|57500000.0|14.8|[']']
KDforAA (EfficientNet-B7)|85.5|66000000.0|null|['ImageNet-1k only', 'EfficientNet']
HaloNet4 (base 128, Conv-12)|85.5|87000000.0|null|['Transformer', 'ImageNet-1k only']
AdvProp (EfficientNet-B8)|85.5|88000000.0|null|['ImageNet-1k only', 'EfficientNet']
CAFormer-B36 (224 res)|85.5|99000000.0|23.2|['ImageNet-1k only']
ConvNeXt-L (384 res)|85.5|198000000.0|101.0|[']']
EfficientNet-B8 (RandAugment)|85.4|null|null|['ImageNet-1k only', 'EfficientNet']
BiFormer-B* (IN1k ptretrain)|85.4|null|null|[']']
GTP-EVA-L/P8|85.4|null|null|[']']
PatchConvNet-S60-21k-512|85.4|25200000.0|null|['ImageNet-22k', 'PatchConvnet']
CAFormer-S18 (384 res, 21K)|85.4|26000000.0|13.4|['ImageNet-22k']
ConvFormer-S36 (224 res, 21K)|85.4|40000000.0|7.6|['ImageNet-22k']
ConvFormer-S36 (384 res)|85.4|40000000.0|22.4|['ImageNet-1k only']
CAIT-S-36|85.4|68200000.0|48.0|['ImageNet-1k only', 'Transformer']
ResNeXt-101 32x48d|85.4|829000000.0|306.0|['IG-1B', 'ResNeXt']
BiT-M (ResNet)|85.39|928000000.0|null|['ImageNet-22k', 'ResNet']
ViT-L/16 Dosovitskiy et al. (2021)|85.3|null|null|['JFT-300M', 'Transformer']
Omnivore (Swin-B)|85.3|null|null|[']']
NoisyStudent (EfficientNet-B4)|85.3|19000000.0|null|['EfficientNet']
CAIT-S-48|85.3|89500000.0|63.8|['ImageNet-1k only', 'Transformer']
ViT-L @224 (DeiT-III + AugSub)|85.3|304000000.0|null|[']']
CLCNet (S:D1+D:D5)|85.28|null|47.43|['ImageNet-1k only']
MaxViT-T (384res)|85.24|null|null|[']']
ViT-H @224 (DeiT III)|85.2|null|null|['ImageNet-1k only']
VOLO-D1|85.2|27000000.0|null|['ImageNet-1k only']
CAFormer-M36 (224 res)|85.2|56000000.0|13.2|['ImageNet-1k only']
AdvProp (EfficientNet-B7)|85.2|66000000.0|null|['ImageNet-1k only', 'EfficientNet']
UniNet-B5|85.2|73500000.0|23.2|[']']
DeiT-B 384|85.2|87000000.0|null|['ImageNet-1k only', 'Transformer']
EfficientNetV2-M|85.1|null|null|['ImageNet-1k only', 'EfficientNet']
MKD ViT-B|85.1|null|null|['Teacher-22k', 'ImageNet-22k']
"SP-ViT-S|384"|85.1|null|null|[']']
XCiT-S12|85.1|26000000.0|55.6|['Transformer', 'ImageNet-1k only']
CAIT-S-24|85.1|46900000.0|32.2|['ImageNet-1k only', 'Transformer']
ResNet200_vd_26w_4s_ssld|85.1|76000000.0|null|['ResNet']
MixMIM-B|85.1|88000000.0|16.3|[']']
NFNet-F2|85.1|193800000.0|62.59|['CNN', 'ImageNet-1k only']
ResNeXt-101 32x32d|85.1|466000000.0|174.0|['ResNeXt']
DiscreteViT|85.07|null|null|['Transformer', 'ImageNet-1k only']
EfficientNetV2-S (21k)|85.0|null|null|['ImageNet-22k', 'EfficientNet']
ViT-M@224 (cosub)|85.0|null|null|['ImageNet-22k']
ViC-MAE (ViT-L)|85.0|null|null|[']']
FixEfficientNet-B3|85.0|12000000.0|null|['ImageNet-1k only', 'EfficientNet']
CAFormer-S18 (384 res)|85.0|26000000.0|13.4|['ImageNet-1k only']
ConvFormer-S18 (384 res, 21K)|85.0|27000000.0|11.6|['ImageNet-22k']
EfficientNet-B7 (RandAugment)|85.0|66000000.0|null|['ImageNet-1k only', 'EfficientNet']
ViT-B @384 (DeiT III)|85.0|87000000.0|null|['ImageNet-1k only']
MaxViT-B (224res)|84.95|null|null|[']']
CaiT-S24|84.91|null|null|[']']
ViT-L @224 (DeiT III)|84.9|null|null|['ImageNet-1k only']
Our SP-ViT-M|84.9|null|null|[']']
DAT-B++ (224x224)|84.9|null|null|[']']
CvT-21 (384 res, ImageNet-22k pretrain)|84.9|32000000.0|25.0|['ImageNet-22k', 'Transformer']
InternImage-B|84.9|97000000.0|16.0|[']']
TinyViT-21M-distill (21k)|84.8|21000000.0|4.3|['ImageNet-22k', 'Transformer']
Wave-ViT-B|84.8|33500000.0|7.2|[']']
CAIT-XS-36|84.8|38600000.0|28.8|['ImageNet-1k only', 'Transformer']
SReT-B (384 res, ImageNet-1K only)|84.8|71200000.0|null|['ImageNet-1k only', 'Transformer']
MViT-B-24|84.8|72900000.0|null|['Transformer', 'ImageNet-1k only']
ActiveMLP-L|84.8|76400000.0|36.4|[']']
NoisyViT-B (384res, ImageNet-21k pretrain)|84.8|86000000.0|null|[']']
DAT-B (384 res, IN-1K only)|84.8|88000000.0|49.8|['Transformer']
MIRL(ViT-S-54)|84.8|96000000.0|18.8|['Transformer', 'ImageNet-1k only']
ConvFormer-B36 (224 res)|84.8|100000000.0|22.6|['ImageNet-1k only']
ResNeXt-101 32x16d (semi-weakly sup.)|84.8|193000000.0|null|['IG-1B', 'ResNeXt']
ELSA-VOLO-D1|84.7|27000000.0|8.0|['ImageNet-1k only']
TransNeXt-Small (IN-1K supervised, 224)|84.7|49700000.0|10.3|['Transformer', 'ImageNet-1k only']
Next-ViT-L @384|84.7|57800000.0|32.0|[']']
BoTNet T7|84.7|75100000.0|null|['ImageNet-1k only', 'Transformer']
MogaNet-L|84.7|83000000.0|15.9|['CNN']
"LITv2-B|384"|84.7|87000000.0|39.7|[']']
NFNet-F1|84.7|132600000.0|35.54|['CNN', 'ImageNet-1k only']
DAT-S++|84.6|null|null|[']']
Sequencer2D-L\u2191392|84.6|54000000.0|50.7|[']']
SE-CoTNetD-152|84.6|55800000.0|26.5|[']']
DaViT-B|84.6|87900000.0|15.5|['ImageNet-1k only', 'Transformer']
ReXNet-R_3.0|84.5|34800000.0|null|[']']
CAFormer-S36 (224 res)|84.5|39000000.0|8.0|['ImageNet-1k only']
ConvFormer-M36 (224 res)|84.5|57000000.0|12.8|['ImageNet-1k only']
GC ViT-B|84.5|90000000.0|14.8|[']']
ResNeSt-269|84.5|111000000.0|null|['CNN', 'ImageNet-1k only']
MaxViT-S (224res)|84.45|null|null|[']']
GPIPE|84.4|null|null|['ImageNet-1k only']
ConvFormer-S18 (384 res)|84.4|27000000.0|11.6|['ImageNet-1k only']
EfficientNet-B7|84.4|66000000.0|37.0|['ImageNet-1k only', 'EfficientNet']
DiNAT-Base|84.4|90000000.0|13.7|['Neighborhood Attention', 'NAT Transformer', 'Transformer', 'ImageNet-1k only']
ResNet-RS-50 (160 image res)|84.4|192000000.0|4.6|['ImageNet-1k only', 'ResNet']
ColorNet (RHYLH with Conv Layer)|84.32|null|null|[']']
ViT-B@384 (attn finetune)|84.3|null|null|['ImageNet-1k only']
BiFormer-S* (IN1k ptretrain)|84.3|null|null|[']']
SReT-S (512 res, ImageNet-1K only)|84.3|21300000.0|42.8|['ImageNet-1k only', 'Transformer']
LambdaResNet200|84.3|42000000.0|null|['CNN', 'ImageNet-1k only']
MogaNet-B|84.3|44000000.0|9.9|['CNN']
TResNet-XL|84.3|77000000.0|null|['CNN', 'ImageNet-1k only']
