name|accuracy|params|hardware_req|tags
GLiT-Smalls|80.5|24600000.0|4.4|['Transformer', 'ImageNet-1k only']
HCGNet-C|80.5|42200000.0|7.1|['CNN', 'ImageNet-1k only']
DVT (T2T-ViT-12)|80.43|null|1.7|['ImageNet-1k only', 'Transformer']
UniNet-B1|80.4|14000000.0|0.99|[']']
DeiT-S (T2)|80.4|22000000.0|null|['Transformer', 'ImageNet-1k only']
ResNet50 (A1)|80.4|25000000.0|null|['CNN', 'ImageNet-1k only']
gSwin-VT|80.32|15500000.0|2.3|['ImageNet-1k only', 'Swin-Transformer', 'MLP']
AlphaNet-A5|80.3|null|0.491|[']']
ResNet-50+AutoDropout+RandAugment|80.3|null|null|['ImageNet-1k only', 'ResNet']
ReXNet_1.5|80.3|9700000.0|0.86|['ImageNet-1k only']
CCT-16/7x2|80.28|null|null|['Transformer', 'ImageNet-1k only']
DeiT-S (PuzzleMix+DM)|80.25|null|null|[']']
iAFF-ResNeXt-50-32x4d|80.22|34700000.0|null|['ImageNet-1k only', 'ResNeXt']
UniRepLKNet-P|80.2|null|null|[']']
FixEfficientNet-B0|80.2|5300000.0|1.6|['ImageNet-1k only', 'EfficientNet']
DAFT-conv (16 heads)|80.2|20300000.0|null|[']']
ConvMLP-L|80.2|42700000.0|null|['CNN', 'MLP', 'ImageNet-1k only']
ResNet-50 (224 res, Fast Knowledge Distillation)|80.1|null|null|['ImageNet-1k only', 'ResNet']
DAFT-conv (384 heads, 200 epochs)|80.1|23000000.0|null|[']']
Inception ResNet V2|80.1|55800000.0|null|['ImageNet-1k only', 'ResNet']
RandWire-WS|80.1|61500000.0|7.9|['CNN', 'ImageNet-1k only']
WideNet-H|80.09|63000000.0|null|['Transformer', 'ImageNet-1k only']
CoE-Small + CondConv + PWLU|80.0|null|0.1|[']']
BasisNet-MV3|80.0|null|0.198|[']']
AlphaNet-A4|80.0|null|0.444|[']']
MogaNet-T (256res)|80.0|5200000.0|1.44|['CNN']
MobileOne-S3 (distill)|80.0|10100000.0|1.8|[']']
LeViT-192|80.0|10400000.0|0.624|['ImageNet-1k only', 'Transformer']
ResNet-101|80.0|44400000.0|null|['ImageNet-1k only', 'ResNet']
ResNet-200|79.9|null|null|['ImageNet-1k only', 'ResNet']
RegNetY-8.0GF|79.9|39200000.0|8.0|['CNN', 'ImageNet-1k only']
ViT-B/16-SAM|79.9|87000000.0|null|['ImageNet-1k only', 'Transformer']
TransBoost-ResNet101|79.86|44550000.0|null|[']']
SKNet-101|79.81|48900000.0|8.46|['CNN', 'ImageNet-1k only']
FixResNet-50 CutMix|79.8|null|null|['ImageNet-1k only', 'ResNet']
CSPResNeXt-50 + Mish|79.8|null|null|['CNN', 'ImageNet-1k only']
kNN-CLIP|79.8|null|null|['Memory-Centric', 'CLIP Pre-trained']
CloFormer-XS|79.8|7200000.0|1.1|[']']
EfficientNet-B2|79.8|9200000.0|1.0|['ImageNet-1k only', 'EfficientNet']
GC ViT-XXT|79.8|12000000.0|2.1|[']']
CSPResNeXt-50 (Mish+Aug)|79.8|20500000.0|null|['CNN', 'ImageNet-1k only']
DAFT-full|79.8|22600000.0|null|[']']
DVT (T2T-ViT-10)|79.74|null|0.7|['ImageNet-1k only', 'Transformer']
NASViT-A1|79.7|null|0.309|[']']
GPaCo (ResNet-50)|79.7|null|null|[']']
ResMLP-36|79.7|45000000.0|null|['MLP', 'ImageNet-1k only']
Grafit (ResNet-50)|79.6|null|null|['ImageNet-1k only', 'ResNet']
LeViT-128|79.6|8800000.0|0.376|['ImageNet-1k only', 'Transformer']
ResT-Small|79.6|13660000.0|1.9|[']']
GTP-DeiT-S/P8|79.5|null|3.4|[']']
ReXNet_1.3|79.5|7600000.0|0.66|['ImageNet-1k only']
WideNet-L|79.49|40000000.0|null|['ImageNet-1k only']
ResNet-50 (SAMix)|79.41|25600000.0|null|['ImageNet-1k only', 'ResNet']
AlphaNet-A3|79.4|null|0.357|[']']
MultiGrain R50-AA-500|79.4|null|null|['ImageNet-1k only']
ResNet-50 (Adversarial Autoaugment)|79.4|null|null|['ImageNet-1k only', 'ResNet']
ResMLP-24|79.4|null|null|['CNN', 'ImageNet-1k only']
EdgeNeXt-S|79.4|5600000.0|2.6|['CrossCovarianceAttention', 'Transformer', 'CNN', 'ImageNet-1k only']
TinyNet (GhostNet-A)|79.4|11900000.0|0.591|[']']
MobileOne-S4|79.4|14800000.0|2.9|[']']
RegNetY-4.0GF|79.4|20600000.0|4.0|['CNN', 'ImageNet-1k only']
SENet-50|79.4|28020000.0|null|['Transformer', 'ImageNet-1k only']
ScaleNet-152|79.38|null|11.2|['CNN', 'ImageNet-1k only']
LIP-ResNet-101|79.33|42900000.0|null|['CNN', 'ImageNet-1k only']
MobileViTv3-S|79.3|5800000.0|1.841|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']
RedNet-152|79.3|34000000.0|6.8|['Transformer', 'ImageNet-1k only']
ResNet-50 (AutoMix)|79.25|25600000.0|null|['ImageNet-1k only', 'ResNet']
PS-KD (ResNet-152 + CutMix)|79.24|null|null|['ImageNet-1k only', 'ResNet']
ResNet-101 (JFT-300M Finetuning)|79.2|null|null|['JFT-300M', 'ResNet']
RVT-Ti*|79.2|10900000.0|1.3|['ImageNet-1k only', 'Transformer']
Multiscale DEQ (MDEQ-XL)|79.2|81000000.0|null|['ImageNet-1k only']
SimpleNetV1-5m-correct-labels|79.12|5700000.0|null|[']']
AlphaNet-A2|79.1|null|0.317|[']']
AA-ResNet-152|79.1|null|null|['ImageNet-1k only']
FixResNet-50|79.1|null|null|['ImageNet-1k only', 'ResNet']
Diffusion Classifier|79.1|null|null|[']']
TinyViT-5M|79.1|5400000.0|1.3|['ImageNet-1k only', 'Transformer']
MobileOne-S2 (distill)|79.1|7800000.0|1.3|[']']
PiT-XS|79.1|10600000.0|1.4|['ImageNet-1k only', 'Transformer']
UniNet-B0|79.1|11900000.0|0.56|[']']
RedNet-101|79.1|25600000.0|4.7|['ImageNet-1k only']
ResNet-50 (UDA)|79.04|null|null|['ImageNet-1k only', 'ResNet']
ScaleNet-101|79.03|null|7.5|['ImageNet-1k only']
TransBoost-ResNet50|79.03|null|null|[']']
Co-ResNet-152|79.03|60000000.0|null|[']']
MobileNetV3_large_x1_0_ssld|79.0|5470000.0|null|['ImageNet-1k only']
RevBiFPN-S2|79.0|10600000.0|1.37|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']
ConvMLP-M|79.0|17400000.0|null|['ImageNet-1k only']
Xception|79.0|22855952.0|null|['ImageNet-1k only']
SpineNet-143|79.0|60500000.0|9.1|['ImageNet-1k only']
Mixer-B/8-SAM|79.0|64000000.0|null|['ImageNet-1k only']
InceptionV3 (FRN layer)|78.95|null|null|['ImageNet-1k only']
ResNet-152 + SWA|78.94|null|null|['ImageNet-1k only', 'ResNet']
ECA-Net (ResNet-152)|78.92|57400000.0|10.83|['ImageNet-1k only', 'ResNet']
AlphaNet-A1|78.9|null|0.279|[']']
MixNet-L|78.9|7300000.0|0.565|['ImageNet-1k only']
CeiT-T (384 finetune res)|78.8|null|3.6|['ImageNet-1k only', 'Transformer']
NoisyStudent (EfficientNet-B0)|78.8|5300000.0|null|['JFT-300M', 'EfficientNet']
EfficientNet-B1|78.8|7800000.0|0.7|['ImageNet-1k only', 'EfficientNet']
ResNet-50|78.8|25500000.0|null|['ResNet']
SGE-ResNet101|78.798|44550000.0|7.858|['ImageNet-1k only']
RepVGG-B2|78.78|80310000.0|18.4|['CNN', 'ImageNet-1k only']
ResNet-50|78.76|null|null|['ImageNet-1k only', 'ResNet']
SAMix+DM (ResNet-50 RSB A3)|78.75|null|null|[']']
ResNet-50|78.7|null|null|['ImageNet-1k only', 'ResNet']
SReT-LT (Fast Knowledge Distillation)|78.7|5000000.0|1.2|['ImageNet-1k only', 'Transformer']
PVTv2-B1|78.7|13100000.0|2.1|['ImageNet-1k only']
ECA-Net (ResNet-101)|78.65|42490000.0|7.35|['ImageNet-1k only', 'ResNet']
MobileViTv3-1.0|78.64|null|1.876|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']
EdgeFormer-S|78.63|5000000.0|3.48|[']']
AutoMix+DM (ResNet-50 RSB A3)|78.62|null|null|[']']
UniRepLKNet-F|78.6|null|null|[']']
TransBoost-EfficientNetB0|78.6|5290000.0|null|[']']
Visformer-Ti|78.6|10300000.0|1.3|['ImageNet-1k only', 'Transformer']
ResMLP-12 (distilled, class-MLP)|78.6|17700000.0|3.0|[']']
RepMLP-Res50|78.6|52770000.0|null|['ImageNet-1k only']
Res2Net-50-299|78.59|null|null|['ImageNet-1k only']
ResNet-152|78.57|null|11.3|[']']
ResNet-50-DW (Deformable Kernels)|78.5|null|null|['ImageNet-1k only', 'ResNet']
HRFormer-T|78.5|8000000.0|1.8|[']']
HCGNet-B|78.5|12900000.0|2.0|['ImageNet-1k only']
RepVGG-B2g4|78.5|55770000.0|11.3|['CNN', 'ImageNet-1k only']
DVT (T2T-ViT-7)|78.48|null|0.6|['ImageNet-1k only', 'Transformer']
SRM-ResNet-101|78.47|null|null|['ImageNet-1k only']
DenseNet-161 + SWA|78.44|null|null|['ImageNet-1k only']
CoaT-Ti|78.42|null|null|[']']
FBNetV5-AC-CLS|78.4|null|0.28|[']']
ResNet-50 (CutMix)|78.4|null|null|['ImageNet-1k only', 'ResNet']
ReXNet_1.0-relabel|78.4|4800000.0|null|['ImageNet-1k only']
MobileViT-S|78.4|5600000.0|null|['Transformer', 'ImageNet-1k only']
RedNet-50|78.4|15500000.0|2.7|['ImageNet-1k only']
ResNet-50 (SAMix+DM)|78.36|null|null|[']']
ResNet-50 + DropBlock (0.9 kp, 0.1 label smoothing)|78.35|null|null|['ImageNet-1k only', 'ResNet']
Poly-SA-ViT-S|78.34|null|null|[']']
EfficientNet-B0 (CondConv)|78.3|null|0.826|['ImageNet-1k only', 'EfficientNet']
ResNet-101|78.25|40000000.0|7.6|['ImageNet-1k only', 'ResNet']
NASViT-A0|78.2|null|0.208|[']']
MultiGrain R50-AA-224|78.2|null|null|['ImageNet-1k only']
Pyramid ViG-Ti|78.2|10700000.0|1.7|[']']
LocalViT-PVT|78.2|13500000.0|4.8|['Transformer']
ResNet-50 (AutoMix+DM)|78.15|null|null|[']']
PuzzleMix+DM (ResNet-50 RSB A3)|78.15|null|null|[']']
ResNet-50 (LIP Bottleneck-256)|78.15|25800000.0|null|['ImageNet-1k only', 'ResNet']
WRN-50-2-bottleneck|78.1|null|null|['ImageNet-1k only']
MobileOne-S3|78.1|10100000.0|1.8|[']']
ResNet50 (A3)|78.1|25000000.0|null|['ImageNet-1k only']
ZenNet-400M-SE|78.0|5700000.0|0.82|[']']
RegNetY-1.6GF|78.0|11200000.0|1.6|['ImageNet-1k only']
HVT-S-1|78.0|21740000.0|2.4|['Transformer', 'ImageNet-1k only']
Perceiver (FF)|78.0|44900000.0|707.2|[']']
ReXNet_1.0|77.9|4800000.0|0.4|['', 'ImageNet-1k only']
ViTAE-6M|77.9|6500000.0|4.0|['ImageNet-1k only']
DenseNet-264|77.85|null|null|['ImageNet-1k only']
AlphaNet-A0|77.8|null|0.203|[']']
ScaleNet-50|77.8|null|3.8|[']']
ResMLP-S12|77.8|15400000.0|null|[']']
ResNet-50 (PuzzleMix+DM)|77.71|null|null|[']']
TinyNet-A + RA|77.7|5100000.0|0.339|[']']
ResNet-50 (Fast AA)|77.6|null|null|['ImageNet-1k only', 'ResNet']
SReT-T|77.6|4800000.0|1.1|[']']
RedNet-38|77.6|12400000.0|2.2|['ImageNet-1k only']
SGE-ResNet50|77.584|25560000.0|4.127|[']']
WideNet-B|77.54|29000000.0|null|['ImageNet-1k only']
EfficientNet-B0|77.5|null|null|['ImageNet-1k only', 'EfficientNet']
ACNet (ResNet-50)|77.5|29380000.0|null|['ImageNet-1k only', 'ResNet']
ECA-Net (ResNet-50)|77.48|24370000.0|3.86|['ImageNet-1k only', 'ResNet']
DenseNet-201|77.42|null|null|['ImageNet-1k only']
MobileOne-S2|77.4|7.8|1.3|[']']
MobileOne-S1 (distill)|77.4|4800000.0|0.825|[']']
R-Mix (ResNet-50)|77.39|null|null|[']']
ResnetV2 50 (FRN layer)|77.21|null|null|['ImageNet-1k only', 'ResNet']
FBNetV5-AR-CLS|77.2|null|0.215|[']']
MogaNet-XT (256res)|77.2|3000000.0|1.04|[']']
ReXNet_0.9|77.2|4100000.0|0.35|['ImageNet-1k only']
Prodpoly|77.17|null|null|['ImageNet-1k only']
ResNet-50-D|77.16|25000000.0|null|['ImageNet-1k only', 'ResNet']
Inception v3|77.12|null|null|['ImageNet-1k only']
MKD ViT-T|77.1|null|null|[']']
GreedyNAS-A|77.1|6500000.0|0.366|['ImageNet-1k only']
SkipblockNet-L|77.1|7100000.0|0.364|[']']
SSAL-Resnet50|77.0|null|null|['ImageNet-1k only', 'ResNet']
UniRepLKNet-A|77.0|null|null|[']']
CloFormer-XXS|77.0|4200000.0|0.6|[']']
MixNet-M|77.0|5000000.0|0.36|['ImageNet-1k only']
SCARLET-A|76.9|6700000.0|0.73|['ImageNet-1k only']
TransBoost-MobileNetV3-L|76.81|5480000.0|null|[']']
ViTAE-T-Stage|76.8|4800000.0|4.6|['ImageNet-1k only']
GreedyNAS-B|76.8|5200000.0|0.324|['ImageNet-1k only']
ConvMLP-S|76.8|9000000.0|null|['ImageNet-1k only']
Perona Malik (Perona and Malik, 1990)|76.71|null|null|['CNN', 'ImageNet-1k only']
PVT-T (+MixPro)|76.7|null|null|[']']
MobileViTv3-XS|76.7|2500000.0|0.927|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']
MnasNet-A3|76.7|5200000.0|0.806|['ImageNet-1k only']
ViL-Tiny-RPB|76.7|6700000.0|1.3|[']']
ConViT-Ti+|76.7|10000000.0|2.0|['ImageNet-1k only', 'Transformer']
TransBoost-ResNet34|76.7|21800000.0|null|[']']
LIP-DenseNet-BC-121|76.64|8700000.0|null|['ImageNet-1k only']
ResNet-50 (X-volution, stage3)|76.6|null|null|['ImageNet-1k only', 'ResNet']
MUXNet-l|76.6|4000000.0|0.636|['ImageNet-1k only']
DeiT-B|76.6|5000000.0|null|['ImageNet-1k only', 'Transformer']
MobileViTv3-0.75|76.55|3000000.0|1.064|['ImageNet-1k only']
Mixer-B/16|76.44|46000000.0|null|['ImageNet-1k only']
Perceiver|76.4|null|null|['Transformer', 'ImageNet-1k only']
CeiT-T|76.4|6400000.0|1.2|['ImageNet-1k only', 'Transformer']
ResNet-34 (SAMix)|76.35|21800000.0|null|['ImageNet-1k only', 'ResNet']
EfficientNet-B0|76.3|5300000.0|0.39|['ImageNet-1k only', 'EfficientNet']
RegNetY-800MF|76.3|6300000.0|0.8|['ImageNet-1k only']
SCARLET-B|76.3|6500000.0|0.658|['ImageNet-1k only']
GLiT-Tinys|76.3|7200000.0|1.4|['ImageNet-1k only']
DenseNet-169|76.2|null|null|['ImageNet-1k only']
GreedyNAS-C|76.2|4700000.0|0.284|['ImageNet-1k only']
SkipblockNet-M|76.2|5500000.0|0.246|['CNN', 'ImageNet-1k only']
ELP (naive ResNet50)|76.13|null|null|[']']
ResNet-34 (AutoMix)|76.1|21800000.0|null|['ImageNet-1k only', 'ResNet']
ResNet-50 MLPerf v0.7 - 2512 steps|75.92|null|null|['ImageNet-1k only', 'ResNet']
DenseNAS-A|75.9|null|null|['ImageNet-1k only']
MobileOne-S1|75.9|4800000.0|0.825|[']']
MoGA-A|75.9|5100000.0|0.608|['ImageNet-1k only']
RevBiFPN-S1|75.9|5110000.0|0.62|['Reversible', 'CNN', 'FPN', 'ImageNet-1k only']
LocalViT-TNT|75.9|6300000.0|1.4|['ImageNet-1k only', 'Transformer']
SALG-ST|75.9|6500000.0|null|[']']
RedNet-26|75.9|9200000.0|1.7|['ImageNet-1k only']
FractalNet-34|75.88|null|null|['ImageNet-1k only']
MixNet-S|75.8|4100000.0|0.256|['ImageNet-1k only']
CoordConv ResNet-50|75.74|null|null|['ImageNet-1k only', 'ResNet']
LeViT-128S|75.7|4700000.0|0.288|['ImageNet-1k only', 'Transformer']
GhostNet \u00d71.3|75.7|7300000.0|0.226|[']']
LR-Net-26|75.7|14700000.0|2.6|['ImageNet-1k only']
Mixer-S16 + STD|75.7|22200000.0|4.3|[']']
SimpleNetV1-small-075-correct-labels|75.66|3000000.0|null|[']']
MnasNet-A2|75.6|4800000.0|0.68|['ImageNet-1k only']
SCARLET-C|75.6|6000000.0|0.56|['ImageNet-1k only']
PAWS (ResNet-50, 10% labels)|75.5|null|null|['ImageNet-1k only', 'ResNet']
RegNetY-600MF|75.5|6100000.0|0.6|['ImageNet-1k only']
ShuffleNet V2|75.4|null|0.597|[']']
VAN-B0|75.4|4100000.0|0.9|[']']
AsymmNet-Large \u00d71.0|75.4|5990000.0|0.4338|[']']
FairNAS-A|75.34|4600000.0|0.776|[']']
ViTAE-T|75.3|null|3.0|['ImageNet-1k only']
MUXNet-m|75.3|3400000.0|0.436|['ImageNet-1k only']
ResNet-50|75.3|25000000.0|3.8|['ImageNet-1k only', 'ResNet']
MnasNet-A1|75.2|3900000.0|0.624|['ImageNet-1k only']
MobileNet V3-Large 1.0|75.2|5400000.0|0.438|['ImageNet-1k only']
DiCENet|75.1|null|0.553|[']']
MultiGrain NASNet-A-Mobile (350px)|75.1|null|null|[']']
FairNAS-B|75.1|4500000.0|0.69|[']']
ResNet-34 (X-volution, stage3)|75.0|null|null|['ImageNet-1k only', 'ResNet']
Ghost-ResNet-50 (s=2)|75.0|13000000.0|2.2|[']']
DenseNet-121|74.98|null|null|['ImageNet-1k only']
Single-Path NAS|74.96|null|null|['ImageNet-1k only']
WaveMix-192/16 (level 3)|74.93|null|null|[']']
FF|74.9|null|null|['ImageNet-1k only']
FBNet-C|74.9|5500000.0|0.375|['ImageNet-1k only']
ESPNetv2|74.9|5900000.0|0.602|['ImageNet-1k only']
MobileViT-XS|74.8|2300000.0|0.7|[']']
LocalViT-T|74.8|5900000.0|1.3|['ImageNet-1k only', 'Transformer']
RandWire-WS (small)|74.7|5600000.0|0.583|[']']
AutoFormer-tiny|74.7|5700000.0|1.3|['ImageNet-1k only', 'Transformer']
MobileNetV2 (1.4)|74.7|6900000.0|1.17|['ImageNet-1k only']
FairNAS-C|74.69|4400000.0|0.642|[']']
ReXNet_0.6|74.6|2700000.0|null|['ImageNet-1k only']
Proxyless|74.6|4000000.0|null|['ImageNet-1k only']
PiT-Ti|74.6|4900000.0|0.7|['ImageNet-1k only', 'Transformer']
DY-MobileNetV2 \u00d71.0|74.4|11100000.0|0|['ImageNet-1k only']
SimpleNetV1-9m|74.17|9500000.0|null|[']']
RegNetY-400MF|74.1|4300000.0|0.4|[']']
Ghost-ResNet-50 (s=4)|74.1|6500000.0|1.2|[']']
SReT-ExT|74.0|4000000.0|0.7|[']']
GhostNet \u00d71.0|73.9|5200000.0|0.141|[']']
DeiT-T (+MixPro)|73.8|null|null|[']']
DeiT-Ti with iRPE-K|73.7|6000000.0|2.568|['ImageNet-1k only', 'Transformer']
TransBoost-ResNet18|73.36|11690000.0|null|[']']
Wide ResNet-50 (edge-popup)|73.3|20600000.0|null|['ImageNet-1k only', 'ResNet']
ResNet-18 (MEAL V2)|73.19|null|null|['ImageNet-1k only']
ConViT-Ti|73.1|6000000.0|1.0|['ImageNet-1k only', 'Transformer']
RevBiFPN-S0|72.8|3420000.0|0.31|['Reversible', 'CNN', 'FPN', 'ImageNet-1k only']
DY-MobileNetV2 \u00d70.75|72.8|7000000.0|0.435|['ImageNet-1k only']
DY-ResNet-18|72.7|42700000.0|3.7|['ImageNet-1k only', 'ResNet']
ECA-Net (MobileNetV2)|72.56|3340000.0|0.32|['ImageNet-1k only']
MobileNet-224 (CGD)|72.56|4260000.0|1.198|['ImageNet-1k only']
MobileOne-S0 (distill)|72.5|2100000.0|0.275|[']']
LocalViT-T2T|72.5|4300000.0|1.2|['ImageNet-1k only', 'Transformer']
MobileViTv3-0.5|72.33|1400000.0|0.481|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']
ResNet-18 (SAMix)|72.33|11700000.0|null|['ImageNet-1k only', 'ResNet']
ResNet-50|72.1|null|null|['ImageNet-1k only', 'ResNet']
ResNet-18 (AutoMix)|72.05|11700000.0|null|['ImageNet-1k only', 'ResNet']
MobileNetV2|72.0|3400000.0|0.6|['CNN']
Ours|71.97|null|null|[']']
SimpleNetV1-5m|71.94|5700000.0|null|['CNN']
ResNet-18 (PAD-L2 w/ ResNet-34 teacher)|71.71|null|null|['ImageNet-1k only', 'ResNet']
MUXNet-s|71.6|2400000.0|0.234|['ImageNet-1k only']
PDC|71.6|11510000.0|null|[']']
ResNet-18 (FT w/ ResNet-34 teacher)|71.56|null|null|['ImageNet-1k only', 'ResNet']
EfficientFormer-V2-S0|71.53|null|null|[']']
MobileOne-S0|71.4|2100000.0|0.275|[']']
ResNet-18 (KD w/ ResNet-34 teacher)|71.37|null|null|['ImageNet-1k only', 'ResNet']
Dspike (VGG-16)|71.24|null|null|['SNN']
EdgeNeXt-XXS|71.2|1300000.0|0.522|['CrossCovarianceAttention', 'Transformer', 'CNN', 'ImageNet-1k only']
ResNet-18 (L2 w/ ResNet-34 teacher)|71.08|null|null|['ImageNet-1k only', 'ResNet']
MobileViTv3-XXS|70.98|1200000.0|0.289|['CNN+Transformer', 'Transformer', 'ImageNet-1k only']
ResNet-18 (CRD w/ ResNet-34 teacher)|70.93|null|null|['ImageNet-1k only', 'ResNet']
ShuffleNet|70.9|null|null|['ImageNet-1k only']
MobileNet-224 \u00d71.25|70.6|null|1.138|[']']
PSN (SEW ResNet-34)|70.54|null|null|['SNN']
ResNet-18 (tf-KD w/ ResNet-18 teacher)|70.52|null|null|['ImageNet-1k only', 'ResNet']
PVTv2-B0|70.5|3400000.0|0.6|['ImageNet-1k only']
ResNet-18 (SSKD w/ ResNet-34 teacher)|70.09|null|null|['ImageNet-1k only', 'ResNet']
DY-MobileNetV3-Small|69.7|4800000.0|0.137|['ImageNet-1k only']
HVT-Ti-1|69.64|5740000.0|0.64|['ImageNet-1k only', 'Transformer']
DY-MobileNetV2 \u00d70.5|69.4|4000000.0|0.203|['ImageNet-1k only']
AsymmNet-Large \u00d70.5|69.2|2800000.0|0.1344|[']']
SimpleNetV1-small-05-correct-labels|69.11|1500000.0|null|[']']
Heteroscedastic (InceptionResNet-v2)|68.6|null|null|['ImageNet-1k only']
AsymmNet-Small \u00d71.0|68.4|3100000.0|0.1154|[']']
FireCaffe (GoogLeNet)|68.3|null|null|['ImageNet-1k only']
Graph-RISE (40M)|68.29|null|null|['ImageNet-1k only']
SimpleNetV1-small-075|68.15|3000000.0|null|[']']
ReActNet-A (BN-Free)|68.0|null|null|['CNN', 'ImageNet-1k only']
DY-ResNet-10|67.7|18600000.0|1.82|['ImageNet-1k only']
WaveMixLite-256/24|67.7|32400000.0|null|[']']
PSN (SEW ResNet-18)|67.63|null|null|['SNN']
MUXNet-xs|66.7|1800000.0|0.132|['ImageNet-1k only']
PAWS (ResNet-50, 1% labels)|66.5|null|null|['ImageNet-1k only', 'ResNet']
GhostNet \u00d70.5|66.2|2600000.0|0.042|[']']
OTTT|65.15|null|null|['SNN']
DY-MobileNetV2 \u00d70.35|64.9|2800000.0|0.124|['ImageNet-1k only']
BBG (ResNet-34)|62.6|null|null|['ImageNet-1k only', 'ResNet']
SimpleNetV1-small-05|61.52|1500000.0|null|[']']
BBG (ResNet-18)|59.4|null|null|['ImageNet-1k only', 'ResNet']
FireCaffe (AlexNet)|58.9|null|null|['ImageNet-1k only']
ReViT-B|null|null|null|[']']
GAC-SNN MS-ResNet-34|null|null|null|[']']
EVA (EVA-CLIP)|null|0|null|[']']
MobileNet-224 \u00d71.0|null|4200000.0|null|[']']
Inception V2|null|11200000.0|null|['ImageNet-1k only']
DaViT-S|null|49700000.0|null|['ImageNet-1k only', 'Transformer']
