name|accuracy|params|hardware_req|tags|id
OmniVec|92.4|null|null|[']']|2311.05709v1
BASIC-L (Lion, fine-tuned)|91.1|2440000000.0|null|['Conv+Transformer', 'ALIGN', 'JFT-3B']|Null
CoCa (finetuned)|91.0|2100000000.0|null|['ALIGN', 'Transformer', 'JFT-3B']|2205.01917v2
Model soups (BASIC-L)|90.98|2440000000.0|null|['ALIGN', 'JFT-3B', 'Conv+Transformer']|2203.05482v3
Model soups (ViT-G/14)|90.94|1843000000.0|null|['JFT-3B', 'Transformer']|2203.05482v3
ViT-e|90.9|3900000000.0|null|['Transformer', 'JFT-3B']|2209.06794v4
CoAtNet-7|90.88|2440000000.0|null|['Conv+Transformer', 'JFT-3B']|2106.04803v2
ViT-G/14 (Lion)|90.71|1843000000.0|null|['Transformer', 'JFT-3B']|Null
CoCa (frozen)|90.6|2100000000.0|null|['Transformer', 'ALIGN', 'JFT-3B']|2205.01917v2
CoAtNet-6|90.45|1470000000.0|null|['Conv+Transformer', 'JFT-3B']|2106.04803v2
ViT-G/14|90.45|1843000000.0|null|['Transformer']|2106.04560v2
DaViT-G|90.4|1437000000.0|null|['Transformer']|2204.03645v1
DaViT-H|90.2|362000000.0|null|['Transformer']|2204.03645v1
Meta Pseudo Labels (EfficientNet-L2)|90.2|480000000.0|95040.0|['JFT-300M', 'EfficientNet']|2003.10580v4
SwinV2-G|90.17|3000000000.0|null|['Transformer']|2111.09883v2
InternImage-DCNv3-G (M3I Pre-training)|90.1|3000000000.0|null|[']']|2211.05778v4
MAWS (ViT-6.5B)|90.1|6500000000.0|null|[']']|Null
Florence-CoSwin-H|90.05|893000000.0|null|['FLD-900M', 'Transformer']|2111.11432v1
Meta Pseudo Labels (EfficientNet-B6-Wide)|90.0|390000000.0|null|['JFT-300M', 'EfficientNet']|2003.10580v4
RevCol-H|90.0|2158000000.0|null|['Pure CNN', 'Reversible', 'CNN']|Null
ONE-PEACE|89.8|1520000000.0|null|[']']|2305.11172v1
MAWS (ViT-2B)|89.8|2000000000.0|null|[']']|Null
EVA|89.7|1000000000.0|null|[']']|2211.07636v2
M3I Pre-training (InternImage-H)|89.6|null|null|['YFCC-15M', 'Laion-400M']|2211.09807v2
ViT-L/16 (384res, distilled from ViT-22B)|89.6|307000000.0|null|[']']|Null
InternImage-H|89.6|1080000000.0|null|[']']|2211.05778v4
MaxViT-XL (512res, JFT)|89.53|null|null|['JFT-300M']|2204.01697v4
MAWS (ViT-H)|89.5|650000000.0|null|[']']|Null
MaxViT-XL (384res, JFT)|89.41|null|null|['JFT-300M']|2204.01697v4
MaxViT-L (512res, JFT)|89.41|null|null|['JFT-300M']|2204.01697v4
NFNet-F4+|89.2|527000000.0|null|['CNN', 'JFT-300M']|2102.06171v1
MaxViT-L (384res, JFT)|89.12|null|null|['JFT-300M']|2204.01697v4
MOAT-4 22K+1K|89.1|483200000.0|null|['ImageNet-22k']|2210.01820v2
FD (CLIP ViT-L-336)|89.0|307000000.0|null|['ImageNet-22k', 'CLIP data ']|2205.14141v3
Last Layer Tuning with Newton Step (ViT-G/14))|88.9|null|null|[']']|2211.13403v1
TokenLearner L/8 (24+11)|88.87|460000000.0|null|['Transformer', 'JFT-300M']|2106.11297v4
MaxViT-B (512res, JFT)|88.82|null|null|['JFT-300M']|2204.01697v4
MAWS (ViT-L)|88.8|null|null|[']']|Null
MViTv2-H (512 res, ImageNet-21k pretrain)|88.8|667000000.0|null|['ImageNet-22k']|2112.01526v2
MaxViT-XL (512res, 21K)|88.7|null|null|[']']|2204.01697v4
MaxViT-B (384res, JFT)|88.69|null|null|[']']|2204.01697v4
ALIGN (EfficientNet-L2)|88.64|480000000.0|null|['ALIGN', 'EfficientNet']|2102.05918v2
EfficientNet-L2-475 (SAM)|88.61|480000000.0|null|['JFT-300M', 'EfficientNet']|2010.01412v3
ViT-B/16|88.6|86000000.0|null|[']']|Null
BEiT-L (ViT; ImageNet-22K pretrain)|88.6|331000000.0|null|['ImageNet-22k', 'Transformer']|Null
SWAG (ViT H/14)|88.6|633500000.0|null|[']']|2201.08371v2
ViT-H/14|88.55|null|null|['JFT-300M', 'Transformer']|2010.11929v2
CoAtNet-3 @384|88.52|168000000.0|null|[']']|2106.04803v2
MaxViT-XL (384res, 21K)|88.51|null|null|['ImageNet-22k']|2204.01697v4
mPLUG-2|88.5|null|null|[']']|2302.00402v1
OpenCLIP ViT-H/14|88.5|null|null|[']']|2212.07143v1
FixEfficientNet-L2|88.5|480000000.0|null|['JFT-300M', 'EfficientNet']|2003.08237v5
ViTAE-H + MAE (448)|88.5|644000000.0|null|[']']|2202.10108v2
MaxViT-L (512res, 21K)|88.46|null|null|[']']|2204.01697v4
MViTv2-L (384 res, ImageNet-21k pretrain)|88.4|218000000.0|null|['ImageNet-22k']|2112.01526v2
NoisyStudent (EfficientNet-L2)|88.4|480000000.0|51800.0|['JFT-300M', 'EfficientNet']|1911.04252v4
MaxViT-B (512res, 21K)|88.38|null|null|['ImageNet-22k']|2204.01697v4
Top-k DiffSortNets (EfficientNet-L2)|88.37|null|null|['EfficientNet', 'JFT-300M']|2206.07290v1
Adlik-ViT-SG+Swin_large+Convnext_xlarge(384)|88.36|1827000000.0|null|[']']|2201.03545v2
V-MoE-H/14 (Every-2)|88.36|7200000000.0|null|['JFT-300M', 'Transformer']|2106.05974v1
MaxViT-L (384res, 21K)|88.32|null|null|['ImageNet-22k']|2204.01697v4
Unicom (ViT-L/14@336px) (Finetuned)|88.3|null|null|[']']|2304.05884v1
PeCo (ViT-H, 448)|88.3|656000000.0|null|['Transformer', 'ImageNet-1k only']|2111.12710v3
MaxViT-B (384res, 21K)|88.24|null|null|['ImageNet-22k']|2204.01697v4
V-MoE-H/14 (Last-5)|88.23|2700000000.0|null|['JFT-300M', 'Transformer']|2106.05974v1
dBOT ViT-H (CLIP as Teacher)|88.2|null|null|['CLIP data ']|2209.03917v3
CAFormer-B36 (384 res, 21K)|88.1|99000000.0|null|['ImageNet-22k']|2210.13452v3
VIT-H/14|88.08|656000000.0|null|['JFT-300M', 'Transformer']|2106.05974v1
ViT-H@224 (cosub)|88.0|null|null|['ImageNet-22k']|2212.04884v1
UniRepLKNet-XL++|88.0|null|null|[']']|2311.15599v2
InternImage-XL|88.0|335000000.0|null|[']']|2211.05778v4
MViTv2-H (mageNet-21k pretrain)|88.0|667000000.0|null|['ImageNet-22k']|2112.01526v2
Mixer-H/14 (JFT-300M pre-train)|87.94|null|null|['JFT-300M', 'MLP']|2105.01601v4
UniRepLKNet-L++|87.9|null|null|[']']|2311.15599v2
dBOT ViT-L (CLIP as Teacher)|87.8|null|null|['CLIP data ']|2209.03917v3
MogaNet-XL (384res)|87.8|181000000.0|null|[']']|2211.03295v3
VAN-B6 (22K, 384res)|87.8|200000000.0|null|['ImageNet-22k']|2202.09741v5
RepLKNet-XL|87.8|335000000.0|null|['ImageNet-22k']|2203.06717v4
ConvNeXt-XL (ImageNet-22k)|87.8|350000000.0|null|['CNN', 'ImageNet-22k']|2201.03545v2
MAE (ViT-H, 448)|87.8|656000000.0|null|['Transformer', 'ImageNet-1k only']|2111.06377v2
ViT-L/16|87.76|null|null|['JFT-300M', 'Transformer']|2010.11929v2
HorNet-L (GF)|87.7|null|null|['ImageNet-22k']|2207.14284v3
InternImage-L|87.7|223000000.0|null|[']']|2211.05778v4
ConvFormer-B36 (384 res, 21K)|87.6|100000000.0|null|['ImageNet-22k']|2210.13452v3
BiT-L (ResNet)|87.54|null|null|['ImageNet-22k', 'ResNet']|1912.11370v3
PeCo (ViT-H, 224)|87.5|null|null|['Transformer', 'ImageNet-1k only']|2111.12710v3
ViT-L@224 (cosub)|87.5|null|null|['ImageNet-22k']|2212.04884v1
CAFormer-M36 (384 res, 21K)|87.5|56000000.0|null|['ImageNet-22k']|2210.13452v3
CSWin-L (384 res,ImageNet-22k pretrain)|87.5|173000000.0|null|['ImageNet-22k', 'Transformer']|2107.00652v3
DaViT-L (ImageNet-22k)|87.5|196800000.0|null|['ImageNet-22k']|2204.03645v1
DiNAT-Large (11x11ks; 384res; Pretrained on IN22K@224)|87.5|200000000.0|null|['ImageNet-22k']|2209.15001v3
V-MoE-L/16 (Every-2)|87.41|3400000000.0|null|['JFT-300M', 'Transformer']|2106.05974v1
DiNAT-Large (384x384; Pretrained on ImageNet-22K @ 224x224)|87.4|null|null|['ImageNet-22k']|2209.15001v3
data2vec 2.0|87.4|null|null|['ImageNet-1k only']|Null
UniRepLKNet-B++|87.4|null|null|[']']|2311.15599v2
CAFormer-B36 (224 res, 21K)|87.4|99000000.0|null|['ImageNet-22k']|2210.13452v3
UniNet-B6|87.4|117000000.0|null|['ImageNet-22k']|2207.05420v2
DiNAT_s-Large (384res; Pretrained on IN22K@224)|87.4|197000000.0|null|['ImageNet-22k']|2209.15001v3
Swin-L|87.3|197000000.0|null|['Transformer']|2103.14030v2
VOLO-D5+HAT|87.3|295500000.0|null|['ImageNet-1k only', 'Transformer']|2204.00993v3
EfficientNetV2 (PolyLoss)|87.2|null|null|[']']|2204.12511v2
ELSA-VOLO-D5 (512*512)|87.2|298000000.0|null|['Transformer', 'ImageNet-1k only']|2112.12786v1
Bamboo (Bamboo-H)|87.1|null|null|['ImageNet-1k only']|2205.10505v3
Swin-L@224 (cosub)|87.1|null|null|['ImageNet-22k']|2212.04884v1
FixEfficientNet-B7|87.1|66000000.0|null|['JFT-300M', 'EfficientNet']|2003.08237v5
FAN-L-Hybrid++|87.1|76800000.0|null|[']']|2204.12451v4
SwinV2-B|87.1|88000000.0|null|[']']|2111.09883v2
VOLO-D5|87.1|296000000.0|null|['ImageNet-1k only']|2106.13112v2
PatchConvNet-L120-21k-384|87.1|334300000.0|null|['PatchConvnet', 'ImageNet-22k']|Null
16-TokenLearner B/16 (21)|87.07|null|null|['Transformer', 'JFT-300M']|2106.11297v4
MAE+DAT (ViT-H)|87.02|null|null|[']']|2209.07735v1
UniNet-B5|87.0|72900000.0|null|['ImageNet-22k']|2207.05420v2
VAN-B5 (22K, 384res)|87.0|90000000.0|null|[']']|2202.09741v5
ConvFormer-B36 (224 res, 21K)|87.0|100000000.0|null|['ImageNet-22k']|2210.13452v3
MAE (ViT-H)|86.9|null|null|['Transformer', 'ImageNet-1k only']|2111.06377v2
Hiera-H|86.9|null|null|['ImageNet-1k only', 'Transformer']|2306.00989v1
CAFormer-S36 (384 res, 21K)|86.9|39000000.0|null|['ImageNet-22k']|2210.13452v3
ConvFormer-M36 (384 res, 21K)|86.9|57000000.0|null|['ImageNet-22k']|2210.13452v3
NoisyStudent (EfficientNet-B7)|86.9|66000000.0|null|['JFT-300M', 'EfficientNet']|1911.04252v4
DaViT-B (ImageNet-22k)|86.9|87900000.0|null|[']']|2204.03645v1
MAWS (ViT-B)|86.8|null|null|[']']|Null
EfficientNetV2L|86.8|121000000.0|null|['ImageNet-22k', 'EfficientNet']|2104.00298v3
VOLO-D4|86.8|193000000.0|null|['ImageNet-1k only']|2106.13112v2
NFNet-F5 w/ SAM w/ augmult=16|86.78|377200000.0|null|['CNN', 'ImageNet-1k only']|2105.13343v2
\u00b52Net (ViT-L/16)|86.74|null|null|['ImageNet-22k']|2205.12755v6
ViT-B @384 (DeiT III, 21k)|86.7|null|null|['ImageNet-22k']|2204.07118v1
MaxViT-L (512res)|86.7|null|null|[']']|2204.01697v4
FixEfficientNet-B6|86.7|43000000.0|null|['JFT-300M', 'EfficientNet']|2003.08237v5
MOAT-3 1K only|86.7|190000000.0|null|[']']|2210.01820v2
Heinsen Routing + BEiT-large 16 224|86.7|312800000.0|null|['Transformer', 'ImageNet-1k only']|2211.11754v3
CLCNet (S:ViT+D:EffNet-B7) (retrain)|86.61|null|null|['ImageNet-1k only']|2205.09612v5
CAFormer-M36 (224 res, 21K)|86.6|56000000.0|null|['ImageNet-22k']|2210.13452v3
VAN-B4 (22K, 384res)|86.6|60000000.0|null|[']']|2202.09741v5
data2vec (ViT-H)|86.6|656000000.0|null|['ImageNet-1k only']|2202.03555v3
DiNAT_s-Large (224x224; Pretrained on ImageNet-22K @ 224x224)|86.5|null|null|['ImageNet-22k']|2209.15001v3
MKD ViT-L|86.5|null|null|['Teacher-22k', 'ImageNet-22k']|2202.07940v1
TinyViT-21M-512-distill (512 res, 21k)|86.5|21000000.0|null|['ImageNet-22k', 'Transformer']|2207.10666v1
PatchConvNet-B60-21k-384|86.5|99400000.0|null|['PatchConvnet', 'ImageNet-22k']|Null
CaiT-M-48-448|86.5|438000000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
NFNet-F6 w/ SAM|86.5|438400000.0|null|['ImageNet-1k only']|2102.06171v1
CLCNet (S:ViT+D:VOLO-D3) (retrain)|86.46|null|null|['ImageNet-1k only']|2205.09612v5
CLCNet (S:ConvNeXt-L+D:EffNet-B7) (retrain)|86.42|null|null|['ImageNet-1k only']|2205.09612v5
MaxViT-L (384res)|86.4|null|null|[']']|2204.01697v4
UniRepLKNet-S++|86.4|null|null|[']']|2311.15599v2
FixEfficientNet-B5|86.4|30000000.0|null|['JFT-300M', 'EfficientNet']|2003.08237v5
ConvFormer-S36 (384 res, 21K)|86.4|40000000.0|null|['ImageNet-22k']|2210.13452v3
NoisyStudent (EfficientNet-B6)|86.4|43000000.0|null|['JFT-300M', 'EfficientNet']|1911.04252v4
Swin-B|86.4|88000000.0|null|['ImageNet-22k', 'Transformer']|2103.14030v2
CAFormer-B36 (384 res)|86.4|99000000.0|null|['ImageNet-1k only']|2210.13452v3
LV-ViT-L|86.4|151000000.0|null|['ImageNet-1k only', 'Transformer']|2104.10858v3
FixResNeXt-101 32x48d|86.4|829000000.0|62.0|['ResNeXt']|1906.06423v4
MaxViT-B (384res)|86.34|null|null|[']']|2204.01697v4
Bamboo (Bamboo-L)|86.3|null|null|['ImageNet-1k only']|2205.10505v3
ViT-B@224 (cosub)|86.3|null|null|['ImageNet-22k']|2212.04884v1
"Our SP-ViT-L|384"|86.3|null|null|[']']|2206.07662v1
BEiT-L (ViT; ImageNet 1k pretrain)|86.3|86000000.0|null|['Transformer', 'ImageNet-1k only']|Null
VOLO-D3|86.3|86000000.0|null|['ImageNet-1k only']|2106.13112v2
VAN-B5 (22K)|86.3|90000000.0|null|[']']|2202.09741v5
UniFormer-L (384 res)|86.3|100000000.0|null|[']']|2201.09450v3
MViTv2-L (384 res)|86.3|218000000.0|null|[']']|2112.01526v2
CAIT-M36-448|86.3|271000000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
NFNet-F5 w/ SAM|86.3|377200000.0|null|['CNN', 'ImageNet-1k only']|2102.06171v1
Swin-B@224 (cosub)|86.2|null|null|['ImageNet-22k']|2212.04884v1
TinyViT-21M-384-distill (384 res, 21k)|86.2|21000000.0|null|['ImageNet-22k', 'Transformer']|2207.10666v1
CAFormer-M36 (384 res)|86.2|56000000.0|null|['ImageNet-1k only']|2210.13452v3
TransNeXt-Base (IN-1K supervised, 384)|86.2|89700000.0|null|['Transformer', 'ImageNet-1k only']|2311.17132v1
MIRL (ViT-B-48)|86.2|341000000.0|null|['Transformer', 'ImageNet-1k only']|Null
MaxViT-S (512res)|86.19|null|null|[']']|2204.01697v4
NoisyStudent (EfficientNet-B5)|86.1|30000000.0|null|['JFT-300M', 'EfficientNet']|1911.04252v4
EfficientNetV2-M (21k)|86.1|55000000.0|null|['ImageNet-22k', 'EfficientNet']|2104.00298v3
ConvFormer-M36 (224 res, 21K)|86.1|57000000.0|null|['ImageNet-22k']|2210.13452v3
CAIT-M-36|86.1|270900000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
Refiner-ViT-L|86.03|81000000.0|null|['ImageNet-1k only', 'Transformer']|2106.03714v1
GPaCo (ViT-L)|86.01|null|null|['Contrastive', 'Transformer', 'ImageNet-1k only']|2209.12400v2
Omnivore (Swin-L)|86.0|null|null|[']']|2201.08377v2
"Our SP-ViT-M|384"|86.0|null|null|[']']|2206.07662v1
TransNeXt-Small (IN-1K supervised, 384)|86.0|49700000.0|null|['Transformer', 'ImageNet-1k only']|2311.17132v1
VOLO-D2|86.0|59000000.0|null|['ImageNet-1k only']|2106.13112v2
XCiT-L24|86.0|189000000.0|null|['Transformer', 'ImageNet-1k only']|2106.09681v2
SparK (ConvNeXt-Large, 384)|86.0|198000000.0|null|['ConvNeXt', 'CNN', 'ImageNet-1k only']|2301.03580v2
NFNet-F5|86.0|377200000.0|null|['CNN', 'ImageNet-1k only']|2102.06171v1
MAE (ViT-L)|85.9|null|null|['Transformer', 'ImageNet-1k only']|2111.06377v2
DAT-B++ (384x384)|85.9|null|null|[']']|2309.01430v1
FixEfficientNet-B4|85.9|19000000.0|null|['JFT-300M', 'EfficientNet']|2003.08237v5
NFNet-F4|85.9|316100000.0|null|['CNN', 'ImageNet-1k only']|2102.06171v1
ConvNeXt-B@224 (cosub)|85.8|null|null|['ImageNet-22k']|2212.04884v1
PiT-B@224 (cosub)|85.8|null|null|['ImageNet-22k']|2212.04884v1
GTP-ViT-B-Patch8/P20|85.8|null|null|[']']|2311.03035v2
CAFormer-S36 (224 res, 21K)|85.8|39000000.0|null|['ImageNet-22k']|2210.13452v3
XCiT-M24|85.8|84000000.0|null|['ImageNet-1k only', 'Transformer']|2106.09681v2
Fix-EfficientNet-B8 (MaxUp + CutMix)|85.8|87420000.0|null|['ImageNet-1k only', 'EfficientNet']|2002.09024v1
KDforAA (EfficientNet-B8)|85.8|88000000.0|null|['ImageNet-1k only', 'EfficientNet']|2003.11342v1
CAIT-M-24|85.8|185900000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
ViT-L|85.8|304800000.0|null|['ImageNet-1k only']|2204.07118v1
SEER (RG-10B)|85.8|10000000000.0|null|['Self-Supervised Learning', 'RegNet', 'IG-1B']|2202.08360v2
MaxViT-T(512res)|85.72|null|null|[']']|2204.01697v4
FixEfficientNet-B8|85.7|null|null|['ImageNet-1k only', 'EfficientNet']|2003.08237v5
EfficientNetV2-L|85.7|null|null|['ImageNet-1k only', 'EfficientNet']|2104.00298v3
ViT-B @224 (DeiT III, 21k)|85.7|null|null|['ImageNet-22k']|2204.07118v1
dBOT ViT-B (CLIP as Teacher)|85.7|null|null|['CLIP data ']|2209.03917v3
CAFormer-S36 (384 res)|85.7|39000000.0|null|['ImageNet-1k only']|2210.13452v3
VAN-B4 (22K)|85.7|60000000.0|null|[']']|2202.09741v5
ConvFormer-B36 (384 res)|85.7|100000000.0|null|['ImageNet-1k only']|2210.13452v3
NFNet-F3|85.7|254900000.0|null|['CNN', 'ImageNet-1k only']|2102.06171v1
ViT-H @224 (DeiT-III + AugSub)|85.7|632000000.0|null|[']']|Null
XCiT-S24|85.6|48000000.0|null|['Transformer', 'ImageNet-1k only']|2106.09681v2
ConvFormer-M36 (384 res)|85.6|57000000.0|null|['ImageNet-1k only']|2210.13452v3
UniFormer-L|85.6|100000000.0|null|[']']|2201.09450v3
ViT-L@384 (attn finetune)|85.5|null|null|['ImageNet-1k only']|2203.09795v1
Our SP-ViT-L|85.5|null|null|[']']|2206.07662v1
Mini-Swin-B@384|85.5|47000000.0|null|['Conv+Transformer', 'ImageNet-1k only', 'Transformer']|2204.07154v1
Wave-ViT-L|85.5|57500000.0|null|[']']|2207.04978v1
KDforAA (EfficientNet-B7)|85.5|66000000.0|null|['ImageNet-1k only', 'EfficientNet']|2003.11342v1
HaloNet4 (base 128, Conv-12)|85.5|87000000.0|null|['Transformer', 'ImageNet-1k only']|2103.12731v3
AdvProp (EfficientNet-B8)|85.5|88000000.0|null|['ImageNet-1k only', 'EfficientNet']|1911.09665v2
CAFormer-B36 (224 res)|85.5|99000000.0|null|['ImageNet-1k only']|2210.13452v3
ConvNeXt-L (384 res)|85.5|198000000.0|null|[']']|2201.03545v2
EfficientNet-B8 (RandAugment)|85.4|null|null|['ImageNet-1k only', 'EfficientNet']|1909.13719v2
BiFormer-B* (IN1k ptretrain)|85.4|null|null|[']']|2303.08810v1
GTP-EVA-L/P8|85.4|null|null|[']']|2311.03035v2
PatchConvNet-S60-21k-512|85.4|25200000.0|null|['ImageNet-22k', 'PatchConvnet']|Null
CAFormer-S18 (384 res, 21K)|85.4|26000000.0|null|['ImageNet-22k']|2210.13452v3
ConvFormer-S36 (224 res, 21K)|85.4|40000000.0|null|['ImageNet-22k']|2210.13452v3
ConvFormer-S36 (384 res)|85.4|40000000.0|null|['ImageNet-1k only']|2210.13452v3
CAIT-S-36|85.4|68200000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
ResNeXt-101 32x48d|85.4|829000000.0|null|['IG-1B', 'ResNeXt']|1805.00932v1
BiT-M (ResNet)|85.39|928000000.0|null|['ImageNet-22k', 'ResNet']|1912.11370v3
ViT-L/16 Dosovitskiy et al. (2021)|85.3|null|null|['JFT-300M', 'Transformer']|2105.01601v4
Omnivore (Swin-B)|85.3|null|null|[']']|2201.08377v2
NoisyStudent (EfficientNet-B4)|85.3|19000000.0|null|['EfficientNet']|1911.04252v4
CAIT-S-48|85.3|89500000.0|null|['ImageNet-1k only', 'Transformer']|2103.17239v2
