name|accuracy|params|hardware_req|tags|id
Co-ResNet-152|79.03|60000000.0|null|[']']|2108.07387v1
MobileNetV3_large_x1_0_ssld|79.0|5470000.0|null|['ImageNet-1k only']|Null
RevBiFPN-S2|79.0|10600000.0|null|['Reversible', 'FPN', 'CNN', 'ImageNet-1k only']|2206.14098v2
ConvMLP-M|79.0|17400000.0|null|['ImageNet-1k only']|2109.04454v2
Xception|79.0|22855952.0|87.0|['ImageNet-1k only']|1610.02357v3
SpineNet-143|79.0|60500000.0|null|['ImageNet-1k only']|1912.05027v3
Mixer-B/8-SAM|79.0|64000000.0|null|['ImageNet-1k only']|2106.01548v3
InceptionV3 (FRN layer)|78.95|null|null|['ImageNet-1k only']|Null
ResNet-152 + SWA|78.94|null|null|['ImageNet-1k only', 'ResNet']|1803.05407v3
ECA-Net (ResNet-152)|78.92|57400000.0|null|['ImageNet-1k only', 'ResNet']|1910.03151v4
AlphaNet-A1|78.9|null|null|[']']|2102.07954v2
MixNet-L|78.9|7300000.0|null|['ImageNet-1k only']|1907.09595v3
CeiT-T (384 finetune res)|78.8|null|null|['ImageNet-1k only', 'Transformer']|2103.11816v2
NoisyStudent (EfficientNet-B0)|78.8|5300000.0|null|['JFT-300M', 'EfficientNet']|1911.04252v4
EfficientNet-B1|78.8|7800000.0|null|['ImageNet-1k only', 'EfficientNet']|1905.11946v5
ResNet-50|78.8|25500000.0|null|['ResNet']|2101.11605v2
SGE-ResNet101|78.798|44550000.0|null|['ImageNet-1k only']|1905.09646v2
RepVGG-B2|78.78|80310000.0|null|['CNN', 'ImageNet-1k only']|2101.03697v3
ResNet-50|78.76|null|null|['ImageNet-1k only', 'ResNet']|2009.06962v2
SAMix+DM (ResNet-50 RSB A3)|78.75|null|null|[']']|Null
ResNet-50|78.7|null|null|['ImageNet-1k only', 'ResNet']|2101.01761v1
SReT-LT (Fast Knowledge Distillation)|78.7|5000000.0|null|['ImageNet-1k only', 'Transformer']|2112.01528v1
PVTv2-B1|78.7|13100000.0|null|['ImageNet-1k only']|2106.13797v7
ECA-Net (ResNet-101)|78.65|42490000.0|null|['ImageNet-1k only', 'ResNet']|1910.03151v4
MobileViTv3-1.0|78.64|null|null|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']|2209.15159v2
EdgeFormer-S|78.63|5000000.0|null|[']']|2203.03952v5
AutoMix+DM (ResNet-50 RSB A3)|78.62|null|null|[']']|Null
UniRepLKNet-F|78.6|null|null|[']']|2311.15599v2
TransBoost-EfficientNetB0|78.6|5290000.0|null|[']']|2205.13331v4
Visformer-Ti|78.6|10300000.0|null|['ImageNet-1k only', 'Transformer']|2104.12533v4
ResMLP-12 (distilled, class-MLP)|78.6|17700000.0|null|[']']|2105.03404v2
RepMLP-Res50|78.6|52770000.0|null|['ImageNet-1k only']|2105.01883v3
Res2Net-50-299|78.59|null|null|['ImageNet-1k only']|1904.01169v3
ResNet-152|78.57|null|null|[']']|1512.03385v1
ResNet-50-DW (Deformable Kernels)|78.5|null|null|['ImageNet-1k only', 'ResNet']|1910.02940v2
HRFormer-T|78.5|8000000.0|null|[']']|2110.09408v3
HCGNet-B|78.5|12900000.0|null|['ImageNet-1k only']|1908.09699v3
RepVGG-B2g4|78.5|55770000.0|null|['CNN', 'ImageNet-1k only']|2101.03697v3
DVT (T2T-ViT-7)|78.48|null|null|['ImageNet-1k only', 'Transformer']|2105.15075v2
SRM-ResNet-101|78.47|null|null|['ImageNet-1k only']|1903.10829v1
DenseNet-161 + SWA|78.44|null|null|['ImageNet-1k only']|1803.05407v3
CoaT-Ti|78.42|null|null|[']']|2308.09372v1
FBNetV5-AC-CLS|78.4|null|null|[']']|2111.10007v2
ResNet-50 (CutMix)|78.4|null|null|['ImageNet-1k only', 'ResNet']|1905.04899v2
ReXNet_1.0-relabel|78.4|4800000.0|null|['ImageNet-1k only']|2101.05022v2
MobileViT-S|78.4|5600000.0|null|['Transformer', 'ImageNet-1k only']|Null
RedNet-50|78.4|15500000.0|null|['ImageNet-1k only']|2103.06255v2
ResNet-50 (SAMix+DM)|78.36|null|null|[']']|Null
ResNet-50 + DropBlock (0.9 kp, 0.1 label smoothing)|78.35|null|null|['ImageNet-1k only', 'ResNet']|1810.12890v1
Poly-SA-ViT-S|78.34|null|null|[']']|2308.09372v1
EfficientNet-B0 (CondConv)|78.3|null|null|['ImageNet-1k only', 'EfficientNet']|1904.04971v3
ResNet-101|78.25|40000000.0|null|['ImageNet-1k only', 'ResNet']|1512.03385v1
NASViT-A0|78.2|null|null|[']']|Null
MultiGrain R50-AA-224|78.2|null|null|['ImageNet-1k only']|1902.05509v2
Pyramid ViG-Ti|78.2|10700000.0|null|[']']|2206.00272v3
LocalViT-PVT|78.2|13500000.0|null|['Transformer']|2104.05707v1
ResNet-50 (AutoMix+DM)|78.15|null|null|[']']|Null
PuzzleMix+DM (ResNet-50 RSB A3)|78.15|null|null|[']']|Null
ResNet-50 (LIP Bottleneck-256)|78.15|25800000.0|null|['ImageNet-1k only', 'ResNet']|1908.04156v3
WRN-50-2-bottleneck|78.1|null|null|['ImageNet-1k only']|1605.07146v4
MobileOne-S3|78.1|10100000.0|null|[']']|2206.04040v2
ResNet50 (A3)|78.1|25000000.0|null|['ImageNet-1k only']|Null
ZenNet-400M-SE|78.0|5700000.0|null|[']']|2102.01063v4
RegNetY-1.6GF|78.0|11200000.0|null|['ImageNet-1k only']|2003.13678v1
HVT-S-1|78.0|21740000.0|null|['Transformer', 'ImageNet-1k only']|2103.10619v2
Perceiver (FF)|78.0|44900000.0|null|[']']|2103.03206v2
ReXNet_1.0|77.9|4800000.0|null|['', 'ImageNet-1k only']|2007.00992v3
ViTAE-6M|77.9|6500000.0|null|['ImageNet-1k only']|2106.03348v4
DenseNet-264|77.85|null|null|['ImageNet-1k only']|1608.06993v5
AlphaNet-A0|77.8|null|null|[']']|2102.07954v2
ScaleNet-50|77.8|null|null|[']']|1904.09460v1
ResMLP-S12|77.8|15400000.0|null|[']']|2105.03404v2
ResNet-50 (PuzzleMix+DM)|77.71|null|null|[']']|Null
TinyNet-A + RA|77.7|5100000.0|null|[']']|2010.14819v2
ResNet-50 (Fast AA)|77.6|null|null|['ImageNet-1k only', 'ResNet']|1905.00397v2
SReT-T|77.6|4800000.0|null|[']']|2111.05297v3
RedNet-38|77.6|12400000.0|null|['ImageNet-1k only']|2103.06255v2
SGE-ResNet50|77.584|25560000.0|null|[']']|1905.09646v2
WideNet-B|77.54|29000000.0|null|['ImageNet-1k only']|2107.11817v3
EfficientNet-B0|77.5|null|null|['ImageNet-1k only', 'EfficientNet']|2101.01761v1
ACNet (ResNet-50)|77.5|29380000.0|null|['ImageNet-1k only', 'ResNet']|1904.03579v1
ECA-Net (ResNet-50)|77.48|24370000.0|null|['ImageNet-1k only', 'ResNet']|1910.03151v4
DenseNet-201|77.42|null|null|['ImageNet-1k only']|1608.06993v5
MobileOne-S2|77.4|7.8|null|[']']|2206.04040v2
MobileOne-S1 (distill)|77.4|4800000.0|null|[']']|2206.04040v2
R-Mix (ResNet-50)|77.39|null|null|[']']|2212.04875v3
ResnetV2 50 (FRN layer)|77.21|null|null|['ImageNet-1k only', 'ResNet']|Null
FBNetV5-AR-CLS|77.2|null|null|[']']|2111.10007v2
MogaNet-XT (256res)|77.2|3000000.0|null|[']']|2211.03295v3
ReXNet_0.9|77.2|4100000.0|null|['ImageNet-1k only']|2007.00992v3
Prodpoly|77.17|null|null|['ImageNet-1k only']|2006.13026v2
ResNet-50-D|77.16|25000000.0|null|['ImageNet-1k only', 'ResNet']|1812.01187v2
Inception v3|77.12|null|null|['ImageNet-1k only']|1803.08337v1
MKD ViT-T|77.1|null|null|[']']|2202.07940v1
GreedyNAS-A|77.1|6500000.0|null|['ImageNet-1k only']|2003.11236v1
SkipblockNet-L|77.1|7100000.0|null|[']']|2107.11170v3
SSAL-Resnet50|77.0|null|null|['ImageNet-1k only', 'ResNet']|2101.03057v1
UniRepLKNet-A|77.0|null|null|[']']|2311.15599v2
CloFormer-XXS|77.0|4200000.0|null|[']']|2303.17803v5
MixNet-M|77.0|5000000.0|null|['ImageNet-1k only']|1907.09595v3
SCARLET-A|76.9|6700000.0|null|['ImageNet-1k only']|1908.06022v6
TransBoost-MobileNetV3-L|76.81|5480000.0|null|[']']|2205.13331v4
ViTAE-T-Stage|76.8|4800000.0|null|['ImageNet-1k only']|2106.03348v4
GreedyNAS-B|76.8|5200000.0|null|['ImageNet-1k only']|2003.11236v1
ConvMLP-S|76.8|9000000.0|null|['ImageNet-1k only']|2109.04454v2
Perona Malik (Perona and Malik, 1990)|76.71|null|null|['CNN', 'ImageNet-1k only']|2011.01901v3
PVT-T (+MixPro)|76.7|null|null|[']']|2304.12043v2
MobileViTv3-XS|76.7|2500000.0|null|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']|2209.15159v2
MnasNet-A3|76.7|5200000.0|null|['ImageNet-1k only']|1807.11626v3
ViL-Tiny-RPB|76.7|6700000.0|null|[']']|2103.15358v2
ConViT-Ti+|76.7|10000000.0|null|['ImageNet-1k only', 'Transformer']|2103.10697v2
TransBoost-ResNet34|76.7|21800000.0|null|[']']|2205.13331v4
LIP-DenseNet-BC-121|76.64|8700000.0|null|['ImageNet-1k only']|1908.04156v3
ResNet-50 (X-volution, stage3)|76.6|null|null|['ImageNet-1k only', 'ResNet']|2106.02253v2
MUXNet-l|76.6|4000000.0|null|['ImageNet-1k only']|2003.13880v2
DeiT-B|76.6|5000000.0|null|['ImageNet-1k only', 'Transformer']|2012.12877v2
MobileViTv3-0.75|76.55|3000000.0|null|['ImageNet-1k only']|2209.15159v2
Mixer-B/16|76.44|46000000.0|null|['ImageNet-1k only']|2105.01601v4
Perceiver|76.4|null|null|['Transformer', 'ImageNet-1k only']|2103.03206v2
CeiT-T|76.4|6400000.0|null|['ImageNet-1k only', 'Transformer']|2103.11816v2
ResNet-34 (SAMix)|76.35|21800000.0|null|['ImageNet-1k only', 'ResNet']|2111.15454v3
EfficientNet-B0|76.3|5300000.0|null|['ImageNet-1k only', 'EfficientNet']|1905.11946v5
RegNetY-800MF|76.3|6300000.0|null|['ImageNet-1k only']|2003.13678v1
SCARLET-B|76.3|6500000.0|null|['ImageNet-1k only']|1908.06022v6
GLiT-Tinys|76.3|7200000.0|null|['ImageNet-1k only']|2107.02960v3
DenseNet-169|76.2|null|null|['ImageNet-1k only']|1608.06993v5
GreedyNAS-C|76.2|4700000.0|null|['ImageNet-1k only']|2003.11236v1
SkipblockNet-M|76.2|5500000.0|null|['CNN', 'ImageNet-1k only']|2107.11170v3
ELP (naive ResNet50)|76.13|null|null|[']']|Null
ResNet-34 (AutoMix)|76.1|21800000.0|null|['ImageNet-1k only', 'ResNet']|2103.13027v6
ResNet-50 MLPerf v0.7 - 2512 steps|75.92|null|null|['ImageNet-1k only', 'ResNet']|2102.06356v3
DenseNAS-A|75.9|null|null|['ImageNet-1k only']|1906.09607v3
MobileOne-S1|75.9|4800000.0|null|[']']|2206.04040v2
MoGA-A|75.9|5100000.0|null|['ImageNet-1k only']|1908.01314v4
RevBiFPN-S1|75.9|5110000.0|null|['Reversible', 'CNN', 'FPN', 'ImageNet-1k only']|2206.14098v2
LocalViT-TNT|75.9|6300000.0|null|['ImageNet-1k only', 'Transformer']|2104.05707v1
SALG-ST|75.9|6500000.0|null|[']']|2211.14705v1
RedNet-26|75.9|9200000.0|null|['ImageNet-1k only']|2103.06255v2
FractalNet-34|75.88|null|null|['ImageNet-1k only']|1605.07648v4
MixNet-S|75.8|4100000.0|null|['ImageNet-1k only']|1907.09595v3
CoordConv ResNet-50|75.74|null|null|['ImageNet-1k only', 'ResNet']|Null
LeViT-128S|75.7|4700000.0|null|['ImageNet-1k only', 'Transformer']|2104.01136v2
GhostNet \u00d71.3|75.7|7300000.0|null|[']']|1911.11907v2
LR-Net-26|75.7|14700000.0|null|['ImageNet-1k only']|1904.11491v1
Mixer-S16 + STD|75.7|22200000.0|null|[']']|Null
SimpleNetV1-small-075-correct-labels|75.66|3000000.0|null|[']']|1608.06037v8
MnasNet-A2|75.6|4800000.0|null|['ImageNet-1k only']|1807.11626v3
SCARLET-C|75.6|6000000.0|null|['ImageNet-1k only']|1908.06022v6
PAWS (ResNet-50, 10% labels)|75.5|null|null|['ImageNet-1k only', 'ResNet']|2104.13963v3
RegNetY-600MF|75.5|6100000.0|null|['ImageNet-1k only']|2003.13678v1
ShuffleNet V2|75.4|null|null|[']']|1807.11164v1
VAN-B0|75.4|4100000.0|null|[']']|2202.09741v5
AsymmNet-Large \u00d71.0|75.4|5990000.0|null|[']']|2104.07770v1
FairNAS-A|75.34|4600000.0|null|[']']|1907.01845v5
ViTAE-T|75.3|null|null|['ImageNet-1k only']|2106.03348v4
MUXNet-m|75.3|3400000.0|null|['ImageNet-1k only']|2003.13880v2
ResNet-50|75.3|25000000.0|null|['ImageNet-1k only', 'ResNet']|1512.03385v1
MnasNet-A1|75.2|3900000.0|null|['ImageNet-1k only']|1807.11626v3
MobileNet V3-Large 1.0|75.2|5400000.0|null|['ImageNet-1k only']|1905.02244v5
DiCENet|75.1|null|null|[']']|1906.03516v3
MultiGrain NASNet-A-Mobile (350px)|75.1|null|null|[']']|1902.05509v2
FairNAS-B|75.1|4500000.0|null|[']']|1907.01845v5
ResNet-34 (X-volution, stage3)|75.0|null|null|['ImageNet-1k only', 'ResNet']|2106.02253v2
Ghost-ResNet-50 (s=2)|75.0|13000000.0|null|[']']|1911.11907v2
DenseNet-121|74.98|null|null|['ImageNet-1k only']|1608.06993v5
Single-Path NAS|74.96|null|null|['ImageNet-1k only']|1904.02877v1
WaveMix-192/16 (level 3)|74.93|null|null|[']']|2205.14375v4
FF|74.9|null|null|['ImageNet-1k only']|Null
FBNet-C|74.9|5500000.0|null|['ImageNet-1k only']|1812.03443v3
ESPNetv2|74.9|5900000.0|null|['ImageNet-1k only']|1811.11431v3
MobileViT-XS|74.8|2300000.0|null|[']']|Null
LocalViT-T|74.8|5900000.0|null|['ImageNet-1k only', 'Transformer']|2104.05707v1
RandWire-WS (small)|74.7|5600000.0|null|[']']|1904.01569v2
AutoFormer-tiny|74.7|5700000.0|null|['ImageNet-1k only', 'Transformer']|2107.00651v1
MobileNetV2 (1.4)|74.7|6900000.0|null|['ImageNet-1k only']|1801.04381v4
FairNAS-C|74.69|4400000.0|null|[']']|1907.01845v5
ReXNet_0.6|74.6|2700000.0|null|['ImageNet-1k only']|2007.00992v3
Proxyless|74.6|4000000.0|null|['ImageNet-1k only']|1812.00332v2
PiT-Ti|74.6|4900000.0|null|['ImageNet-1k only', 'Transformer']|2103.16302v2
DY-MobileNetV2 \u00d71.0|74.4|11100000.0|null|['ImageNet-1k only']|1912.03458v2
SimpleNetV1-9m|74.17|9500000.0|null|[']']|1608.06037v8
RegNetY-400MF|74.1|4300000.0|null|[']']|2003.13678v1
Ghost-ResNet-50 (s=4)|74.1|6500000.0|null|[']']|1911.11907v2
SReT-ExT|74.0|4000000.0|null|[']']|2111.05297v3
GhostNet \u00d71.0|73.9|5200000.0|null|[']']|1911.11907v2
DeiT-T (+MixPro)|73.8|null|null|[']']|2304.12043v2
DeiT-Ti with iRPE-K|73.7|6000000.0|null|['ImageNet-1k only', 'Transformer']|2107.14222v1
DGPPF-ResNet50|73.66|2560000.0|null|[']']|Null
TransBoost-ResNet18|73.36|11690000.0|null|[']']|2205.13331v4
Wide ResNet-50 (edge-popup)|73.3|20600000.0|null|['ImageNet-1k only', 'ResNet']|1911.13299v2
ResNet-18 (MEAL V2)|73.19|null|null|['ImageNet-1k only']|2009.08453v2
ConViT-Ti|73.1|6000000.0|null|['ImageNet-1k only', 'Transformer']|2103.10697v2
RevBiFPN-S0|72.8|3420000.0|null|['Reversible', 'CNN', 'FPN', 'ImageNet-1k only']|2206.14098v2
DY-MobileNetV2 \u00d70.75|72.8|7000000.0|null|['ImageNet-1k only']|1912.03458v2
DY-ResNet-18|72.7|42700000.0|null|['ImageNet-1k only', 'ResNet']|1912.03458v2
ECA-Net (MobileNetV2)|72.56|3340000.0|null|['ImageNet-1k only']|1910.03151v4
MobileNet-224 (CGD)|72.56|4260000.0|null|['ImageNet-1k only']|1907.09665v10
MobileOne-S0 (distill)|72.5|2100000.0|null|[']']|2206.04040v2
LocalViT-T2T|72.5|4300000.0|null|['ImageNet-1k only', 'Transformer']|2104.05707v1
MobileViTv3-0.5|72.33|1400000.0|null|['Transformer', 'CNN+Transformer', 'ImageNet-1k only']|2209.15159v2
ResNet-18 (SAMix)|72.33|11700000.0|null|['ImageNet-1k only', 'ResNet']|2111.15454v3
ResNet-50|72.1|null|null|['ImageNet-1k only', 'ResNet']|Null
ResNet-18 (AutoMix)|72.05|11700000.0|null|['ImageNet-1k only', 'ResNet']|2103.13027v6
MobileNetV2|72.0|3400000.0|null|['CNN']|1801.04381v4
Ours|71.97|null|null|[']']|2009.04626v1
SimpleNetV1-5m|71.94|5700000.0|null|['CNN']|1608.06037v8
ResNet-18 (PAD-L2 w/ ResNet-34 teacher)|71.71|null|null|['ImageNet-1k only', 'ResNet']|2011.12913v2
MUXNet-s|71.6|2400000.0|null|['ImageNet-1k only']|2003.13880v2
PDC|71.6|11510000.0|null|[']']|2104.07916v2
ResNet-18 (FT w/ ResNet-34 teacher)|71.56|null|null|['ImageNet-1k only', 'ResNet']|2011.12913v2
EfficientFormer-V2-S0|71.53|null|null|[']']|2308.09372v1
MobileOne-S0|71.4|2100000.0|null|[']']|2206.04040v2
ResNet-18 (KD w/ ResNet-34 teacher)|71.37|null|null|['ImageNet-1k only', 'ResNet']|2011.12913v2
Dspike (VGG-16)|71.24|null|null|['SNN']|Null
EdgeNeXt-XXS|71.2|1300000.0|null|['CrossCovarianceAttention', 'Transformer', 'CNN', 'ImageNet-1k only']|2206.10589v3
ResNet-18 (L2 w/ ResNet-34 teacher)|71.08|null|null|['ImageNet-1k only', 'ResNet']|2011.12913v2
MobileViTv3-XXS|70.98|1200000.0|null|['CNN+Transformer', 'Transformer', 'ImageNet-1k only']|2209.15159v2
ResNet-18 (CRD w/ ResNet-34 teacher)|70.93|null|null|['ImageNet-1k only', 'ResNet']|2011.12913v2
ShuffleNet|70.9|null|null|['ImageNet-1k only']|1707.01083v2
MobileNet-224 \u00d71.25|70.6|null|null|[']']|1704.04861v1
PSN (SEW ResNet-34)|70.54|null|null|['SNN']|Null
ResNet-18 (tf-KD w/ ResNet-18 teacher)|70.52|null|null|['ImageNet-1k only', 'ResNet']|2011.12913v2
PVTv2-B0|70.5|3400000.0|null|['ImageNet-1k only']|2106.13797v7
GAC-SNN MS-ResNet-34|70.42|null|null|[']']|2308.06582v1
ResNet-18 (SSKD w/ ResNet-34 teacher)|70.09|null|null|['ImageNet-1k only', 'ResNet']|2011.12913v2
DY-MobileNetV3-Small|69.7|4800000.0|null|['ImageNet-1k only']|1912.03458v2
HVT-Ti-1|69.64|5740000.0|null|['ImageNet-1k only', 'Transformer']|2103.10619v2
DY-MobileNetV2 \u00d70.5|69.4|4000000.0|null|['ImageNet-1k only']|1912.03458v2
AsymmNet-Large \u00d70.5|69.2|2800000.0|null|[']']|2104.07770v1
SimpleNetV1-small-05-correct-labels|69.11|1500000.0|null|[']']|1608.06037v8
Heteroscedastic (InceptionResNet-v2)|68.6|null|null|['ImageNet-1k only']|2105.10305v1
AsymmNet-Small \u00d71.0|68.4|3100000.0|null|[']']|2104.07770v1
FireCaffe (GoogLeNet)|68.3|null|null|['ImageNet-1k only']|1511.00175v2
Graph-RISE (40M)|68.29|null|null|['ImageNet-1k only']|1902.10814v1
SimpleNetV1-small-075|68.15|3000000.0|null|[']']|1608.06037v8
ReActNet-A (BN-Free)|68.0|null|null|['CNN', 'ImageNet-1k only']|2104.08215v1
DY-ResNet-10|67.7|18600000.0|null|['ImageNet-1k only']|1912.03458v2
WaveMixLite-256/24|67.7|32400000.0|null|[']']|Null
PSN (SEW ResNet-18)|67.63|null|null|['SNN']|Null
MUXNet-xs|66.7|1800000.0|null|['ImageNet-1k only']|2003.13880v2
PAWS (ResNet-50, 1% labels)|66.5|null|null|['ImageNet-1k only', 'ResNet']|2104.13963v3
GhostNet \u00d70.5|66.2|2600000.0|null|[']']|1911.11907v2
DGPPF-MobileNetV2|65.59|1030000.0|null|[']']|Null
DGPPF-ResNet18|65.22|1150000.0|null|[']']|Null
OTTT|65.15|null|null|['SNN']|2210.04195v2
DY-MobileNetV2 \u00d70.35|64.9|2800000.0|null|['ImageNet-1k only']|1912.03458v2
BBG (ResNet-34)|62.6|null|null|['ImageNet-1k only', 'ResNet']|1909.12117v2
SimpleNetV1-small-05|61.52|1500000.0|null|[']']|1608.06037v8
BBG (ResNet-18)|59.4|null|null|['ImageNet-1k only', 'ResNet']|1909.12117v2
FireCaffe (AlexNet)|58.9|null|null|['ImageNet-1k only']|1511.00175v2
EVA (EVA-CLIP)|null|0|null|[']']|2211.07636v2
MobileNet-224 \u00d71.0|null|4200000.0|null|[']']|1704.04861v1
Inception V2|null|11200000.0|null|['ImageNet-1k only']|1502.03167v3
DaViT-S|null|49700000.0|null|['ImageNet-1k only', 'Transformer']|2204.03645v1
